i,suite,case,SIZE,NO_SET,FS,CHUNK,DISK_SIZE,SKIP_WARMUP,FILE_SIZE,SIM_SIZE,BLOCK_SIZE,FILE_COUNT,NO_FRUNCATE,SEED,SIM_TIME,DISK_GEOMETRY,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
16,bench_p26_wt,bench_p26_wt_linear,2097152,0,4,64,134217728,0,64,0,65536,32768,0,42,3600000000000,1,heap,360052800,0,0,0,0,0,0,2696,46.266165
16,bench_p26_wt,bench_p26_wt_linear,2097152,0,4,64,134217728,0,64,0,65536,32768,0,42,3600000000000,1,usage,360052800,0,0,0,0,0,0,4968357,46.266212
14,bench_p26_wt,bench_p26_wt_linear,2097152,0,4,64,134217728,0,64,0,16384,32768,0,42,3600000000000,1,write,76156992,91116222,1818978,9801,46651505664,931316736,160579584,3600237158400,50.055480
14,bench_p26_wt,bench_p26_wt_linear,2097152,0,4,64,134217728,0,64,0,16384,32768,0,42,3600000000000,1,stack,76156992,0,0,0,0,0,0,1296,50.055563
14,bench_p26_wt,bench_p26_wt_linear,2097152,0,4,64,134217728,0,64,0,16384,32768,0,42,3600000000000,1,ctx,76156992,0,0,0,0,0,0,336,50.055601
14,bench_p26_wt,bench_p26_wt_linear,2097152,0,4,64,134217728,0,64,0,16384,32768,0,42,3600000000000,1,heap,76156992,0,0,0,0,0,0,2696,50.055634
14,bench_p26_wt,bench_p26_wt_linear,2097152,0,4,64,134217728,0,64,0,16384,32768,0,42,3600000000000,1,usage,76156992,0,0,0,0,0,0,7176024,50.055665
12,bench_p26_wt,bench_p26_wt_linear,2097152,0,4,64,134217728,0,64,0,4096,32768,0,42,3600000000000,1,write,5453888,103984625,127681,3107,53240128000,65372672,12726272,3600423414784,50.893383
12,bench_p26_wt,bench_p26_wt_linear,2097152,0,4,64,134217728,0,64,0,4096,32768,0,42,3600000000000,1,stack,5453888,0,0,0,0,0,0,1296,50.893458
12,bench_p26_wt,bench_p26_wt_linear,2097152,0,4,64,134217728,0,64,0,4096,32768,0,42,3600000000000,1,ctx,5453888,0,0,0,0,0,0,336,50.893491
12,bench_p26_wt,bench_p26_wt_linear,2097152,0,4,64,134217728,0,64,0,4096,32768,0,42,3600000000000,1,heap,5453888,0,0,0,0,0,0,2696,50.893519
12,bench_p26_wt,bench_p26_wt_linear,2097152,0,4,64,134217728,0,64,0,4096,32768,0,42,3600000000000,1,usage,5453888,0,0,0,0,0,0,20118717,50.893543
