i,suite,case,SKIP_WARMUP,CHUNK,SIM_SIZE,FS,SIZE,FILE_COUNT,DISK_GEOMETRY,NO_SET,FILE_SIZE,SEED,DISK_SIZE,SIM_TIME,NO_FRUNCATE,BLOCK_SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
18,bench_p26_wt,bench_p26_wt_linear,0,64,0,2,2097152,32768,0,0,64,42,134217728,3600000000000,0,262144,heap,257478144,0,0,0,0,0,0,784,4.448007
18,bench_p26_wt,bench_p26_wt_linear,0,64,0,2,2097152,32768,0,0,64,42,134217728,3600000000000,0,262144,usage,257478144,0,0,0,0,0,0,2359296,4.448046
15,bench_p26_wt,bench_p26_wt_linear,0,64,0,2,2097152,32768,0,0,64,42,134217728,3600000000000,0,32768,write,281673600,281851406,1100559,69848,281851406,281741900,286097408,3600057748180,4.628269
15,bench_p26_wt,bench_p26_wt_linear,0,64,0,2,2097152,32768,0,0,64,42,134217728,3600000000000,0,32768,stack,281673600,0,0,0,0,0,0,1856,4.628347
15,bench_p26_wt,bench_p26_wt_linear,0,64,0,2,2097152,32768,0,0,64,42,134217728,3600000000000,0,32768,ctx,281673600,0,0,0,0,0,0,400,4.628387
15,bench_p26_wt,bench_p26_wt_linear,0,64,0,2,2097152,32768,0,0,64,42,134217728,3600000000000,0,32768,heap,281673600,0,0,0,0,0,0,784,4.628420
15,bench_p26_wt,bench_p26_wt_linear,0,64,0,2,2097152,32768,0,0,64,42,134217728,3600000000000,0,32768,usage,281673600,0,0,0,0,0,0,753664,4.628451
16,bench_p26_wt,bench_p26_wt_linear,0,64,0,2,2097152,32768,0,0,64,42,134217728,3600000000000,0,65536,write,277938112,278011736,1085832,69984,278011736,277971580,286654464,3600059657460,4.758456
16,bench_p26_wt,bench_p26_wt_linear,0,64,0,2,2097152,32768,0,0,64,42,134217728,3600000000000,0,65536,stack,277938112,0,0,0,0,0,0,1856,4.758516
16,bench_p26_wt,bench_p26_wt_linear,0,64,0,2,2097152,32768,0,0,64,42,134217728,3600000000000,0,65536,ctx,277938112,0,0,0,0,0,0,400,4.758552
16,bench_p26_wt,bench_p26_wt_linear,0,64,0,2,2097152,32768,0,0,64,42,134217728,3600000000000,0,65536,heap,277938112,0,0,0,0,0,0,784,4.758583
16,bench_p26_wt,bench_p26_wt_linear,0,64,0,2,2097152,32768,0,0,64,42,134217728,3600000000000,0,65536,usage,277938112,0,0,0,0,0,0,1310720,4.758612
12,bench_p26_wt,bench_p26_wt_linear,0,64,0,2,2097152,32768,0,0,64,42,134217728,3600000000000,0,4096,write,284971520,287042694,1115347,69710,287042694,285527628,285532160,3600044606868,4.798082
12,bench_p26_wt,bench_p26_wt_linear,0,64,0,2,2097152,32768,0,0,64,42,134217728,3600000000000,0,4096,stack,284971520,0,0,0,0,0,0,2000,4.798144
12,bench_p26_wt,bench_p26_wt_linear,0,64,0,2,2097152,32768,0,0,64,42,134217728,3600000000000,0,4096,ctx,284971520,0,0,0,0,0,0,400,4.798179
