i,suite,case,FILE_COUNT,DISK_GEOMETRY,NO_SET,SIZE,CHUNK,SIM_TIME,BLOCK_SIZE,DISK_SIZE,FILE_SIZE,SEED,FS,NO_FRUNCATE,SIM_SIZE,SKIP_WARMUP,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
14,bench_p26_wt,bench_p26_wt_linear,32768,1,0,2097152,64,3600000000000,16384,134217728,64,42,5,0,0,0,heap,6469173248,0,0,0,0,0,0,189140,60.185539
14,bench_p26_wt,bench_p26_wt_linear,32768,1,0,2097152,64,3600000000000,16384,134217728,64,42,5,0,0,0,usage,6469173248,0,0,0,0,0,0,9041216,60.185580
15,bench_p26_wt,bench_p26_wt_linear,32768,1,0,2097152,64,3600000000000,32768,134217728,64,42,5,0,0,0,write,6469181184,3138,13469452,210449,1606656,6896359424,6895992832,3600001766400,60.651005
15,bench_p26_wt,bench_p26_wt_linear,32768,1,0,2097152,64,3600000000000,32768,134217728,64,42,5,0,0,0,stack,6469181184,0,0,0,0,0,0,8704,60.651098
15,bench_p26_wt,bench_p26_wt_linear,32768,1,0,2097152,64,3600000000000,32768,134217728,64,42,5,0,0,0,ctx,6469181184,0,0,0,0,0,0,7168,60.651138
15,bench_p26_wt,bench_p26_wt_linear,32768,1,0,2097152,64,3600000000000,32768,134217728,64,42,5,0,0,0,heap,6469181184,0,0,0,0,0,0,123452,60.651173
15,bench_p26_wt,bench_p26_wt_linear,32768,1,0,2097152,64,3600000000000,32768,134217728,64,42,5,0,0,0,usage,6469181184,0,0,0,0,0,0,9096272,60.651206
18,bench_p26_wt,bench_p26_wt_linear,32768,1,0,2097152,64,3600000000000,262144,134217728,64,42,5,0,0,0,write,6508288512,3173,13469431,52614,1624576,6896348672,6896222208,3600000956416,60.770434
18,bench_p26_wt,bench_p26_wt_linear,32768,1,0,2097152,64,3600000000000,262144,134217728,64,42,5,0,0,0,stack,6508288512,0,0,0,0,0,0,8704,60.770510
18,bench_p26_wt,bench_p26_wt_linear,32768,1,0,2097152,64,3600000000000,262144,134217728,64,42,5,0,0,0,ctx,6508288512,0,0,0,0,0,0,7168,60.770551
18,bench_p26_wt,bench_p26_wt_linear,32768,1,0,2097152,64,3600000000000,262144,134217728,64,42,5,0,0,0,heap,6508288512,0,0,0,0,0,0,99060,60.770583
18,bench_p26_wt,bench_p26_wt_linear,32768,1,0,2097152,64,3600000000000,262144,134217728,64,42,5,0,0,0,usage,6508288512,0,0,0,0,0,0,9034272,60.770614
19,bench_p26_wt,bench_p26_wt_linear,32768,1,0,2097152,64,3600000000000,524288,134217728,64,42,5,0,0,0,write,6514473344,3176,13469052,52664,1626112,6896154624,6902775808,3600000980992,60.788376
19,bench_p26_wt,bench_p26_wt_linear,32768,1,0,2097152,64,3600000000000,524288,134217728,64,42,5,0,0,0,stack,6514473344,0,0,0,0,0,0,8704,60.788428
19,bench_p26_wt,bench_p26_wt_linear,32768,1,0,2097152,64,3600000000000,524288,134217728,64,42,5,0,0,0,ctx,6514473344,0,0,0,0,0,0,7168,60.788460
19,bench_p26_wt,bench_p26_wt_linear,32768,1,0,2097152,64,3600000000000,524288,134217728,64,42,5,0,0,0,heap,6514473344,0,0,0,0,0,0,110972,60.788487
19,bench_p26_wt,bench_p26_wt_linear,32768,1,0,2097152,64,3600000000000,524288,134217728,64,42,5,0,0,0,usage,6514473344,0,0,0,0,0,0,10343216,60.788512
29,bench_p26_wt,bench_p26_wt_random,32768,1,0,2097152,64,3600000000000,1048576,134217728,64,42,5,0,0,0,write,653026688,10829674,10971038,85712,11089586176,11234342912,11234443264,3600001040384,15.077904
29,bench_p26_wt,bench_p26_wt_random,32768,1,0,2097152,64,3600000000000,1048576,134217728,64,42,5,0,0,0,stack,653026688,0,0,0,0,0,0,8688,15.078057
29,bench_p26_wt,bench_p26_wt_random,32768,1,0,2097152,64,3600000000000,1048576,134217728,64,42,5,0,0,0,ctx,653026688,0,0,0,0,0,0,7152,15.078114
