i,suite,case,SIZE,DISK_SIZE,FILE_SIZE,FS,NO_FRUNCATE,SEED,SKIP_WARMUP,NO_SET,CHUNK,DISK_GEOMETRY,SIM_TIME,FILE_COUNT,SIM_SIZE,BLOCK_SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
15,bench_p26_wt,bench_p26_wt_linear,2097152,134217728,64,4,0,42,0,0,64,0,3600000000000,32768,0,32768,heap,66796608,0,0,0,0,0,0,1160,46.871249
15,bench_p26_wt,bench_p26_wt_linear,2097152,134217728,64,4,0,42,0,0,64,0,3600000000000,32768,0,32768,usage,66796608,0,0,0,0,0,0,8618475,46.871286
14,bench_p26_wt,bench_p26_wt_linear,2097152,134217728,64,4,0,42,0,0,64,0,3600000000000,32768,0,16384,write,60727360,25148303360,2938533,31440,25148303360,191815294,128778240,3600123701850,54.956914
14,bench_p26_wt,bench_p26_wt_linear,2097152,134217728,64,4,0,42,0,0,64,0,3600000000000,32768,0,16384,stack,60727360,0,0,0,0,0,0,1296,54.956997
14,bench_p26_wt,bench_p26_wt_linear,2097152,134217728,64,4,0,42,0,0,64,0,3600000000000,32768,0,16384,ctx,60727360,0,0,0,0,0,0,336,54.957034
14,bench_p26_wt,bench_p26_wt_linear,2097152,134217728,64,4,0,42,0,0,64,0,3600000000000,32768,0,16384,heap,60727360,0,0,0,0,0,0,1160,54.957065
14,bench_p26_wt,bench_p26_wt_linear,2097152,134217728,64,4,0,42,0,0,64,0,3600000000000,32768,0,16384,usage,60727360,0,0,0,0,0,0,8813111,54.957093
13,bench_p26_wt,bench_p26_wt_linear,2097152,134217728,64,4,0,42,0,0,64,0,3600000000000,32768,0,8192,write,36602944,50496228864,1778256,19256,50496228864,115638138,78872576,3600070415886,70.527674
13,bench_p26_wt,bench_p26_wt_linear,2097152,134217728,64,4,0,42,0,0,64,0,3600000000000,32768,0,8192,stack,36602944,0,0,0,0,0,0,1296,70.527768
13,bench_p26_wt,bench_p26_wt_linear,2097152,134217728,64,4,0,42,0,0,64,0,3600000000000,32768,0,8192,ctx,36602944,0,0,0,0,0,0,336,70.527807
13,bench_p26_wt,bench_p26_wt_linear,2097152,134217728,64,4,0,42,0,0,64,0,3600000000000,32768,0,8192,heap,36602944,0,0,0,0,0,0,1160,70.527840
13,bench_p26_wt,bench_p26_wt_linear,2097152,134217728,64,4,0,42,0,0,64,0,3600000000000,32768,0,8192,usage,36602944,0,0,0,0,0,0,9747759,70.527870
12,bench_p26_wt,bench_p26_wt_linear,2097152,134217728,64,4,0,42,0,0,64,0,3600000000000,32768,0,4096,write,14680128,74975552512,720594,7981,74975552512,46412238,32690176,3647368042570,82.524918
12,bench_p26_wt,bench_p26_wt_linear,2097152,134217728,64,4,0,42,0,0,64,0,3600000000000,32768,0,4096,stack,14680128,0,0,0,0,0,0,1296,82.524988
12,bench_p26_wt,bench_p26_wt_linear,2097152,134217728,64,4,0,42,0,0,64,0,3600000000000,32768,0,4096,ctx,14680128,0,0,0,0,0,0,336,82.525018
12,bench_p26_wt,bench_p26_wt_linear,2097152,134217728,64,4,0,42,0,0,64,0,3600000000000,32768,0,4096,heap,14680128,0,0,0,0,0,0,1160,82.525043
12,bench_p26_wt,bench_p26_wt_linear,2097152,134217728,64,4,0,42,0,0,64,0,3600000000000,32768,0,4096,usage,14680128,0,0,0,0,0,0,12819945,82.525064
26,bench_p26_wt,bench_p26_wt_random,2097152,134217728,64,4,0,42,0,0,64,0,3600000000000,32768,0,131072,write,3999552,66872042172,1172853,10112,66872042172,44125641,41418752,3600037808715,116.663859
26,bench_p26_wt,bench_p26_wt_random,2097152,134217728,64,4,0,42,0,0,64,0,3600000000000,32768,0,131072,stack,3999552,0,0,0,0,0,0,1312,116.664001
26,bench_p26_wt,bench_p26_wt_random,2097152,134217728,64,4,0,42,0,0,64,0,3600000000000,32768,0,131072,ctx,3999552,0,0,0,0,0,0,352,116.664066
26,bench_p26_wt,bench_p26_wt_random,2097152,134217728,64,4,0,42,0,0,64,0,3600000000000,32768,0,131072,heap,3999552,0,0,0,0,0,0,1160,116.664115
26,bench_p26_wt,bench_p26_wt_random,2097152,134217728,64,4,0,42,0,0,64,0,3600000000000,32768,0,131072,usage,3999552,0,0,0,0,0,0,9122602,116.664159
25,bench_p26_wt,bench_p26_wt_random,2097152,134217728,64,4,0,42,0,0,64,0,3600000000000,32768,0,65536,write,3970560,67056639004,1165187,10016,67056639004,43852103,41025536,3600029232549,123.179074
25,bench_p26_wt,bench_p26_wt_random,2097152,134217728,64,4,0,42,0,0,64,0,3600000000000,32768,0,65536,stack,3970560,0,0,0,0,0,0,1312,123.179215
25,bench_p26_wt,bench_p26_wt_random,2097152,134217728,64,4,0,42,0,0,64,0,3600000000000,32768,0,65536,ctx,3970560,0,0,0,0,0,0,352,123.179271
25,bench_p26_wt,bench_p26_wt_random,2097152,134217728,64,4,0,42,0,0,64,0,3600000000000,32768,0,65536,heap,3970560,0,0,0,0,0,0,1160,123.179319
25,bench_p26_wt,bench_p26_wt_random,2097152,134217728,64,4,0,42,0,0,64,0,3600000000000,32768,0,65536,usage,3970560,0,0,0,0,0,0,8998114,123.179363
24,bench_p26_wt,bench_p26_wt_random,2097152,134217728,64,4,0,42,0,0,64,0,3600000000000,32768,0,32768,write,3914432,67366630684,1150537,9872,67366630684,43328653,40435712,3600077272535,131.866597
24,bench_p26_wt,bench_p26_wt_random,2097152,134217728,64,4,0,42,0,0,64,0,3600000000000,32768,0,32768,stack,3914432,0,0,0,0,0,0,1312,131.866720
24,bench_p26_wt,bench_p26_wt_random,2097152,134217728,64,4,0,42,0,0,64,0,3600000000000,32768,0,32768,ctx,3914432,0,0,0,0,0,0,352,131.875057
24,bench_p26_wt,bench_p26_wt_random,2097152,134217728,64,4,0,42,0,0,64,0,3600000000000,32768,0,32768,heap,3914432,0,0,0,0,0,0,1160,131.875126
24,bench_p26_wt,bench_p26_wt_random,2097152,134217728,64,4,0,42,0,0,64,0,3600000000000,32768,0,32768,usage,3914432,0,0,0,0,0,0,8935870,131.875172
21,bench_p26_wt,bench_p26_wt_random,2097152,134217728,64,4,0,42,0,0,64,0,3600000000000,32768,0,4096,write,871872,83177817600,324153,3184,83177817600,14745948,13041664,3600371289300,136.179807
21,bench_p26_wt,bench_p26_wt_random,2097152,134217728,64,4,0,42,0,0,64,0,3600000000000,32768,0,4096,stack,871872,0,0,0,0,0,0,1312,136.179916
21,bench_p26_wt,bench_p26_wt_random,2097152,134217728,64,4,0,42,0,0,64,0,3600000000000,32768,0,4096,ctx,871872,0,0,0,0,0,0,352,136.179982
21,bench_p26_wt,bench_p26_wt_random,2097152,134217728,64,4,0,42,0,0,64,0,3600000000000,32768,0,4096,heap,871872,0,0,0,0,0,0,1160,136.180027
21,bench_p26_wt,bench_p26_wt_random,2097152,134217728,64,4,0,42,0,0,64,0,3600000000000,32768,0,4096,usage,871872,0,0,0,0,0,0,14951308,136.180068
29,bench_p26_wt,bench_p26_wt_random,2097152,134217728,64,4,0,42,0,0,64,0,3600000000000,32768,0,1048576,write,4007680,66418942860,1174913,10496,66418942860,44204075,42991616,3600019074065,143.984543
29,bench_p26_wt,bench_p26_wt_random,2097152,134217728,64,4,0,42,0,0,64,0,3600000000000,32768,0,1048576,stack,4007680,0,0,0,0,0,0,1312,143.984656
29,bench_p26_wt,bench_p26_wt_random,2097152,134217728,64,4,0,42,0,0,64,0,3600000000000,32768,0,1048576,ctx,4007680,0,0,0,0,0,0,352,143.984706
29,bench_p26_wt,bench_p26_wt_random,2097152,134217728,64,4,0,42,0,0,64,0,3600000000000,32768,0,1048576,heap,4007680,0,0,0,0,0,0,1160,143.984750
29,bench_p26_wt,bench_p26_wt_random,2097152,134217728,64,4,0,42,0,0,64,0,3600000000000,32768,0,1048576,usage,4007680,0,0,0,0,0,0,10865434,143.984794
28,bench_p26_wt,bench_p26_wt_random,2097152,134217728,64,4,0,42,0,0,64,0,3600000000000,32768,0,524288,write,4012032,66584057100,1176133,10368,66584057100,44244933,42467328,3601352748159,148.397033
28,bench_p26_wt,bench_p26_wt_random,2097152,134217728,64,4,0,42,0,0,64,0,3600000000000,32768,0,524288,stack,4012032,0,0,0,0,0,0,1312,148.397121
28,bench_p26_wt,bench_p26_wt_random,2097152,134217728,64,4,0,42,0,0,64,0,3600000000000,32768,0,524288,ctx,4012032,0,0,0,0,0,0,352,148.397161
28,bench_p26_wt,bench_p26_wt_random,2097152,134217728,64,4,0,42,0,0,64,0,3600000000000,32768,0,524288,heap,4012032,0,0,0,0,0,0,1160,148.397195
28,bench_p26_wt,bench_p26_wt_random,2097152,134217728,64,4,0,42,0,0,64,0,3600000000000,32768,0,524288,usage,4012032,0,0,0,0,0,0,9869530,148.397225
22,bench_p26_wt,bench_p26_wt_random,2097152,134217728,64,4,0,42,0,0,64,0,3600000000000,32768,0,8192,write,1996800,77339985920,630090,5648,77339985920,25316951,23134208,3600349519477,149.699803
22,bench_p26_wt,bench_p26_wt_random,2097152,134217728,64,4,0,42,0,0,64,0,3600000000000,32768,0,8192,stack,1996800,0,0,0,0,0,0,1312,149.699886
22,bench_p26_wt,bench_p26_wt_random,2097152,134217728,64,4,0,42,0,0,64,0,3600000000000,32768,0,8192,ctx,1996800,0,0,0,0,0,0,352,149.699923
22,bench_p26_wt,bench_p26_wt_random,2097152,134217728,64,4,0,42,0,0,64,0,3600000000000,32768,0,8192,heap,1996800,0,0,0,0,0,0,1160,149.699965
22,bench_p26_wt,bench_p26_wt_random,2097152,134217728,64,4,0,42,0,0,64,0,3600000000000,32768,0,8192,usage,1996800,0,0,0,0,0,0,10912364,149.699995
27,bench_p26_wt,bench_p26_wt_random,2097152,134217728,64,4,0,42,0,0,64,0,3600000000000,32768,0,262144,write,4012992,66764814572,1176475,10176,66764814572,44254289,41680896,3600080326627,160.705340
27,bench_p26_wt,bench_p26_wt_random,2097152,134217728,64,4,0,42,0,0,64,0,3600000000000,32768,0,262144,stack,4012992,0,0,0,0,0,0,1312,160.705418
27,bench_p26_wt,bench_p26_wt_random,2097152,134217728,64,4,0,42,0,0,64,0,3600000000000,32768,0,262144,ctx,4012992,0,0,0,0,0,0,352,160.705451
27,bench_p26_wt,bench_p26_wt_random,2097152,134217728,64,4,0,42,0,0,64,0,3600000000000,32768,0,262144,heap,4012992,0,0,0,0,0,0,1160,160.705479
27,bench_p26_wt,bench_p26_wt_random,2097152,134217728,64,4,0,42,0,0,64,0,3600000000000,32768,0,262144,usage,4012992,0,0,0,0,0,0,9371578,160.705506
23,bench_p26_wt,bench_p26_wt_random,2097152,134217728,64,4,0,42,0,0,64,0,3600000000000,32768,0,16384,write,3803008,67950785536,1121446,9612,67950785536,42288215,39370752,3600083924085,178.034292
23,bench_p26_wt,bench_p26_wt_random,2097152,134217728,64,4,0,42,0,0,64,0,3600000000000,32768,0,16384,stack,3803008,0,0,0,0,0,0,1312,178.034365
23,bench_p26_wt,bench_p26_wt_random,2097152,134217728,64,4,0,42,0,0,64,0,3600000000000,32768,0,16384,ctx,3803008,0,0,0,0,0,0,352,178.034395
23,bench_p26_wt,bench_p26_wt_random,2097152,134217728,64,4,0,42,0,0,64,0,3600000000000,32768,0,16384,heap,3803008,0,0,0,0,0,0,1160,178.034421
23,bench_p26_wt,bench_p26_wt_random,2097152,134217728,64,4,0,42,0,0,64,0,3600000000000,32768,0,16384,usage,3803008,0,0,0,0,0,0,8904748,178.034444
30,bench_p26_wt,bench_p26_wt_many,2097152,134217728,64,4,0,42,0,0,64,0,3600000000000,32768,0,4096,write,231360,89239346221,23184,484,89239346221,1441362,1982464,3600657151774,134.569477
30,bench_p26_wt,bench_p26_wt_many,2097152,134217728,64,4,0,42,0,0,64,0,3600000000000,32768,0,4096,stack,231360,0,0,0,0,0,0,1488,134.569604
30,bench_p26_wt,bench_p26_wt_many,2097152,134217728,64,4,0,42,0,0,64,0,3600000000000,32768,0,4096,ctx,231360,0,0,0,0,0,0,560,134.569666
30,bench_p26_wt,bench_p26_wt_many,2097152,134217728,64,4,0,42,0,0,64,0,3600000000000,32768,0,4096,heap,231360,0,0,0,0,0,0,1160,134.569714
30,bench_p26_wt,bench_p26_wt_many,2097152,134217728,64,4,0,42,0,0,64,0,3600000000000,32768,0,4096,usage,231360,0,0,0,0,0,0,14505473,134.569759
31,bench_p26_wt,bench_p26_wt_many,2097152,134217728,64,4,0,42,0,0,64,0,3600000000000,32768,0,8192,write,474368,88442867076,48792,960,88442867076,3030376,3932160,3600494015320,240.840762
31,bench_p26_wt,bench_p26_wt_many,2097152,134217728,64,4,0,42,0,0,64,0,3600000000000,32768,0,8192,stack,474368,0,0,0,0,0,0,1488,240.840881
31,bench_p26_wt,bench_p26_wt_many,2097152,134217728,64,4,0,42,0,0,64,0,3600000000000,32768,0,8192,ctx,474368,0,0,0,0,0,0,560,240.840940
31,bench_p26_wt,bench_p26_wt_many,2097152,134217728,64,4,0,42,0,0,64,0,3600000000000,32768,0,8192,heap,474368,0,0,0,0,0,0,1160,240.840988
31,bench_p26_wt,bench_p26_wt_many,2097152,134217728,64,4,0,42,0,0,64,0,3600000000000,32768,0,8192,usage,474368,0,0,0,0,0,0,12062643,240.841035
35,bench_p26_wt,bench_p26_wt_many,2097152,134217728,64,4,0,42,0,0,64,0,3600000000000,32768,0,131072,write,962880,86749349492,105032,1984,86749349492,6448538,8126464,3601400079502,244.993398
35,bench_p26_wt,bench_p26_wt_many,2097152,134217728,64,4,0,42,0,0,64,0,3600000000000,32768,0,131072,stack,962880,0,0,0,0,0,0,1520,244.993502
35,bench_p26_wt,bench_p26_wt_many,2097152,134217728,64,4,0,42,0,0,64,0,3600000000000,32768,0,131072,ctx,962880,0,0,0,0,0,0,560,244.993637
35,bench_p26_wt,bench_p26_wt_many,2097152,134217728,64,4,0,42,0,0,64,0,3600000000000,32768,0,131072,heap,962880,0,0,0,0,0,0,1160,244.993706
35,bench_p26_wt,bench_p26_wt_many,2097152,134217728,64,4,0,42,0,0,64,0,3600000000000,32768,0,131072,usage,962880,0,0,0,0,0,0,12970615,244.993757
32,bench_p26_wt,bench_p26_wt_many,2097152,134217728,64,4,0,42,0,0,64,0,3600000000000,32768,0,16384,write,953280,86820987227,104225,1900,86820987227,6378338,7782400,3600161464702,277.411904
32,bench_p26_wt,bench_p26_wt_many,2097152,134217728,64,4,0,42,0,0,64,0,3600000000000,32768,0,16384,stack,953280,0,0,0,0,0,0,1520,277.412014
32,bench_p26_wt,bench_p26_wt_many,2097152,134217728,64,4,0,42,0,0,64,0,3600000000000,32768,0,16384,ctx,953280,0,0,0,0,0,0,560,277.412067
32,bench_p26_wt,bench_p26_wt_many,2097152,134217728,64,4,0,42,0,0,64,0,3600000000000,32768,0,16384,heap,953280,0,0,0,0,0,0,1160,277.412112
32,bench_p26_wt,bench_p26_wt_many,2097152,134217728,64,4,0,42,0,0,64,0,3600000000000,32768,0,16384,usage,953280,0,0,0,0,0,0,12710277,277.412154
36,bench_p26_wt,bench_p26_wt_many,2097152,134217728,64,4,0,42,0,0,64,0,3600000000000,32768,0,262144,write,961152,86652333663,104765,2048,86652333663,6434726,8388608,3600292263722,289.092380
36,bench_p26_wt,bench_p26_wt_many,2097152,134217728,64,4,0,42,0,0,64,0,3600000000000,32768,0,262144,stack,961152,0,0,0,0,0,0,1520,289.092489
36,bench_p26_wt,bench_p26_wt_many,2097152,134217728,64,4,0,42,0,0,64,0,3600000000000,32768,0,262144,ctx,961152,0,0,0,0,0,0,560,289.092540
36,bench_p26_wt,bench_p26_wt_many,2097152,134217728,64,4,0,42,0,0,64,0,3600000000000,32768,0,262144,heap,961152,0,0,0,0,0,0,1160,289.092582
36,bench_p26_wt,bench_p26_wt_many,2097152,134217728,64,4,0,42,0,0,64,0,3600000000000,32768,0,262144,usage,961152,0,0,0,0,0,0,13213663,289.092623
38,bench_p26_wt,bench_p26_wt_many,2097152,134217728,64,4,0,42,0,0,64,0,3600000000000,32768,0,1048576,write,953280,86369182187,103759,2304,86369182187,6376474,9437184,3600082225062,330.164937
38,bench_p26_wt,bench_p26_wt_many,2097152,134217728,64,4,0,42,0,0,64,0,3600000000000,32768,0,1048576,stack,953280,0,0,0,0,0,0,1520,330.165030
38,bench_p26_wt,bench_p26_wt_many,2097152,134217728,64,4,0,42,0,0,64,0,3600000000000,32768,0,1048576,ctx,953280,0,0,0,0,0,0,560,330.165071
38,bench_p26_wt,bench_p26_wt_many,2097152,134217728,64,4,0,42,0,0,64,0,3600000000000,32768,0,1048576,heap,953280,0,0,0,0,0,0,1160,330.165105
38,bench_p26_wt,bench_p26_wt_many,2097152,134217728,64,4,0,42,0,0,64,0,3600000000000,32768,0,1048576,usage,953280,0,0,0,0,0,0,14670963,330.165137
37,bench_p26_wt,bench_p26_wt_many,2097152,134217728,64,4,0,42,0,0,64,0,3600000000000,32768,0,524288,write,957760,86509660047,104312,2176,86509660047,6408976,8912896,3600163399816,334.918019
37,bench_p26_wt,bench_p26_wt_many,2097152,134217728,64,4,0,42,0,0,64,0,3600000000000,32768,0,524288,stack,957760,0,0,0,0,0,0,1520,334.918103
37,bench_p26_wt,bench_p26_wt_many,2097152,134217728,64,4,0,42,0,0,64,0,3600000000000,32768,0,524288,ctx,957760,0,0,0,0,0,0,560,334.918141
37,bench_p26_wt,bench_p26_wt_many,2097152,134217728,64,4,0,42,0,0,64,0,3600000000000,32768,0,524288,heap,957760,0,0,0,0,0,0,1160,334.918172
37,bench_p26_wt,bench_p26_wt_many,2097152,134217728,64,4,0,42,0,0,64,0,3600000000000,32768,0,524288,usage,957760,0,0,0,0,0,0,13697289,334.918201
34,bench_p26_wt,bench_p26_wt_many,2097152,134217728,64,4,0,42,0,0,64,0,3600000000000,32768,0,65536,write,962048,86769009197,104983,1936,86769009197,6442448,7929856,3600006810232,337.598010
34,bench_p26_wt,bench_p26_wt_many,2097152,134217728,64,4,0,42,0,0,64,0,3600000000000,32768,0,65536,stack,962048,0,0,0,0,0,0,1520,337.598086
34,bench_p26_wt,bench_p26_wt_many,2097152,134217728,64,4,0,42,0,0,64,0,3600000000000,32768,0,65536,ctx,962048,0,0,0,0,0,0,560,337.598119
34,bench_p26_wt,bench_p26_wt_many,2097152,134217728,64,4,0,42,0,0,64,0,3600000000000,32768,0,65536,heap,962048,0,0,0,0,0,0,1160,337.598147
34,bench_p26_wt,bench_p26_wt_many,2097152,134217728,64,4,0,42,0,0,64,0,3600000000000,32768,0,65536,usage,962048,0,0,0,0,0,0,12842669,337.598175
33,bench_p26_wt,bench_p26_wt_many,2097152,134217728,64,4,0,42,0,0,64,0,3600000000000,32768,0,32768,write,959232,86789997295,104743,1920,86789997295,6421798,7864320,3600029932586,343.551548
33,bench_p26_wt,bench_p26_wt_many,2097152,134217728,64,4,0,42,0,0,64,0,3600000000000,32768,0,32768,stack,959232,0,0,0,0,0,0,1520,343.551625
33,bench_p26_wt,bench_p26_wt_many,2097152,134217728,64,4,0,42,0,0,64,0,3600000000000,32768,0,32768,ctx,959232,0,0,0,0,0,0,560,343.560010
33,bench_p26_wt,bench_p26_wt_many,2097152,134217728,64,4,0,42,0,0,64,0,3600000000000,32768,0,32768,heap,959232,0,0,0,0,0,0,1160,343.560078
33,bench_p26_wt,bench_p26_wt_many,2097152,134217728,64,4,0,42,0,0,64,0,3600000000000,32768,0,32768,usage,959232,0,0,0,0,0,0,12768075,343.560126
46,bench_p26_wt,bench_p26_wt_logging,2097152,134217728,64,4,0,42,0,0,64,0,3600000000000,32768,0,524288,write,31116864,5370018177,4017522,39424,5370018177,287449276,161480704,3601812320284,9.785975
46,bench_p26_wt,bench_p26_wt_logging,2097152,134217728,64,4,0,42,0,0,64,0,3600000000000,32768,0,524288,stack,31116864,0,0,0,0,0,0,1344,9.786090
46,bench_p26_wt,bench_p26_wt_logging,2097152,134217728,64,4,0,42,0,0,64,0,3600000000000,32768,0,524288,ctx,31116864,0,0,0,0,0,0,384,9.786147
46,bench_p26_wt,bench_p26_wt_logging,2097152,134217728,64,4,0,42,0,0,64,0,3600000000000,32768,0,524288,heap,31116864,0,0,0,0,0,0,1160,9.786193
46,bench_p26_wt,bench_p26_wt_logging,2097152,134217728,64,4,0,42,0,0,64,0,3600000000000,32768,0,524288,usage,31116864,0,0,0,0,0,0,11655340,9.786236
47,bench_p26_wt,bench_p26_wt_logging,2097152,134217728,64,4,0,42,0,0,64,0,3600000000000,32768,0,1048576,write,31108160,5048924913,4016313,39680,5048924913,287368513,162529280,3600002956411,12.829184
47,bench_p26_wt,bench_p26_wt_logging,2097152,134217728,64,4,0,42,0,0,64,0,3600000000000,32768,0,1048576,stack,31108160,0,0,0,0,0,0,1344,12.829294
47,bench_p26_wt,bench_p26_wt_logging,2097152,134217728,64,4,0,42,0,0,64,0,3600000000000,32768,0,1048576,ctx,31108160,0,0,0,0,0,0,384,12.829348
47,bench_p26_wt,bench_p26_wt_logging,2097152,134217728,64,4,0,42,0,0,64,0,3600000000000,32768,0,1048576,heap,31108160,0,0,0,0,0,0,1160,12.829393
47,bench_p26_wt,bench_p26_wt_logging,2097152,134217728,64,4,0,42,0,0,64,0,3600000000000,32768,0,1048576,usage,31108160,0,0,0,0,0,0,12642599,12.829437
45,bench_p26_wt,bench_p26_wt_logging,2097152,134217728,64,4,0,42,0,0,64,0,3600000000000,32768,0,262144,write,30928256,5998893921,3994819,39040,5998893921,285707190,159907840,3600570660522,14.037941
45,bench_p26_wt,bench_p26_wt_logging,2097152,134217728,64,4,0,42,0,0,64,0,3600000000000,32768,0,262144,stack,30928256,0,0,0,0,0,0,1344,14.038052
45,bench_p26_wt,bench_p26_wt_logging,2097152,134217728,64,4,0,42,0,0,64,0,3600000000000,32768,0,262144,ctx,30928256,0,0,0,0,0,0,384,14.038106
45,bench_p26_wt,bench_p26_wt_logging,2097152,134217728,64,4,0,42,0,0,64,0,3600000000000,32768,0,262144,heap,30928256,0,0,0,0,0,0,1160,14.038151
45,bench_p26_wt,bench_p26_wt_logging,2097152,134217728,64,4,0,42,0,0,64,0,3600000000000,32768,0,262144,usage,30928256,0,0,0,0,0,0,10965716,14.038195
44,bench_p26_wt,bench_p26_wt_logging,2097152,134217728,64,4,0,42,0,0,64,0,3600000000000,32768,0,131072,write,30497664,7226054721,3942886,38400,7226054721,281729290,157286400,3600002525158,16.819197
