i,suite,case,FS,CHUNK,FILE_COUNT,BLOCK_SIZE,SIM_SIZE,NO_FRUNCATE,FILE_SIZE,DISK_SIZE,NO_SET,SIM_TIME,DISK_GEOMETRY,SKIP_WARMUP,SEED,SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
41,bench_p26_wt,bench_p26_wt_logging,2,64,32768,16384,0,0,64,134217728,0,3600000000000,1,0,42,2097152,heap,32024704,0,0,0,0,0,0,1552,162.908067
41,bench_p26_wt,bench_p26_wt_logging,2,64,32768,16384,0,0,64,134217728,0,3600000000000,1,0,42,2097152,usage,32024704,0,0,0,0,0,0,2752512,162.908127
40,bench_p26_wt,bench_p26_wt_logging,2,64,32768,8192,0,0,64,134217728,0,3600000000000,1,0,42,2097152,write,51063872,54998194,7673016,884038,7786576216,3928584192,7242039296,3600003338632,188.813458
40,bench_p26_wt,bench_p26_wt_logging,2,64,32768,8192,0,0,64,134217728,0,3600000000000,1,0,42,2097152,stack,51063872,0,0,0,0,0,0,2016,188.813563
40,bench_p26_wt,bench_p26_wt_logging,2,64,32768,8192,0,0,64,134217728,0,3600000000000,1,0,42,2097152,ctx,51063872,0,0,0,0,0,0,400,188.813615
40,bench_p26_wt,bench_p26_wt_logging,2,64,32768,8192,0,0,64,134217728,0,3600000000000,1,0,42,2097152,heap,51063872,0,0,0,0,0,0,1552,188.813660
40,bench_p26_wt,bench_p26_wt_logging,2,64,32768,8192,0,0,64,134217728,0,3600000000000,1,0,42,2097152,usage,51063872,0,0,0,0,0,0,2875392,188.813706
47,bench_p26_wt,bench_p26_wt_logging,2,64,32768,1048576,0,0,64,134217728,0,3600000000000,1,0,42,2097152,write,820416,21426363,10289646,102536,10589192508,5268298752,13439598592,3600390400884,201.880100
47,bench_p26_wt,bench_p26_wt_logging,2,64,32768,1048576,0,0,64,134217728,0,3600000000000,1,0,42,2097152,stack,820416,0,0,0,0,0,0,1760,201.880197
47,bench_p26_wt,bench_p26_wt_logging,2,64,32768,1048576,0,0,64,134217728,0,3600000000000,1,0,42,2097152,ctx,820416,0,0,0,0,0,0,400,201.880252
47,bench_p26_wt,bench_p26_wt_logging,2,64,32768,1048576,0,0,64,134217728,0,3600000000000,1,0,42,2097152,heap,820416,0,0,0,0,0,0,1552,201.880301
47,bench_p26_wt,bench_p26_wt_logging,2,64,32768,1048576,0,0,64,134217728,0,3600000000000,1,0,42,2097152,usage,820416,0,0,0,0,0,0,3145728,201.880356
42,bench_p26_wt,bench_p26_wt_logging,2,64,32768,32768,0,0,64,134217728,0,3600000000000,1,0,42,2097152,write,18166144,32395121,9537742,288719,9794933708,4883323904,9460744192,3600002616356,210.651122
42,bench_p26_wt,bench_p26_wt_logging,2,64,32768,32768,0,0,64,134217728,0,3600000000000,1,0,42,2097152,stack,18166144,0,0,0,0,0,0,2000,210.651213
42,bench_p26_wt,bench_p26_wt_logging,2,64,32768,32768,0,0,64,134217728,0,3600000000000,1,0,42,2097152,ctx,18166144,0,0,0,0,0,0,400,210.651260
42,bench_p26_wt,bench_p26_wt_logging,2,64,32768,32768,0,0,64,134217728,0,3600000000000,1,0,42,2097152,heap,18166144,0,0,0,0,0,0,1552,210.651315
42,bench_p26_wt,bench_p26_wt_logging,2,64,32768,32768,0,0,64,134217728,0,3600000000000,1,0,42,2097152,usage,18166144,0,0,0,0,0,0,3670016,210.651355
46,bench_p26_wt,bench_p26_wt_logging,2,64,32768,524288,0,0,64,134217728,0,3600000000000,1,0,42,2097152,write,1404736,21811198,10358822,87852,10650877218,5303716864,11514937344,3600107179398,243.700859
46,bench_p26_wt,bench_p26_wt_logging,2,64,32768,524288,0,0,64,134217728,0,3600000000000,1,0,42,2097152,stack,1404736,0,0,0,0,0,0,1760,243.700963
46,bench_p26_wt,bench_p26_wt_logging,2,64,32768,524288,0,0,64,134217728,0,3600000000000,1,0,42,2097152,ctx,1404736,0,0,0,0,0,0,400,243.709266
46,bench_p26_wt,bench_p26_wt_logging,2,64,32768,524288,0,0,64,134217728,0,3600000000000,1,0,42,2097152,heap,1404736,0,0,0,0,0,0,1552,243.709326
46,bench_p26_wt,bench_p26_wt_logging,2,64,32768,524288,0,0,64,134217728,0,3600000000000,1,0,42,2097152,usage,1404736,0,0,0,0,0,0,2621440,243.709364
45,bench_p26_wt,bench_p26_wt_logging,2,64,32768,262144,0,0,64,134217728,0,3600000000000,1,0,42,2097152,write,2594176,22516360,10343823,81208,10628843880,5296037376,10644094976,3600062471352,246.700048
45,bench_p26_wt,bench_p26_wt_logging,2,64,32768,262144,0,0,64,134217728,0,3600000000000,1,0,42,2097152,stack,2594176,0,0,0,0,0,0,1856,246.700130
45,bench_p26_wt,bench_p26_wt_logging,2,64,32768,262144,0,0,64,134217728,0,3600000000000,1,0,42,2097152,ctx,2594176,0,0,0,0,0,0,400,246.700169
45,bench_p26_wt,bench_p26_wt_logging,2,64,32768,262144,0,0,64,134217728,0,3600000000000,1,0,42,2097152,heap,2594176,0,0,0,0,0,0,1552,246.700200
45,bench_p26_wt,bench_p26_wt_logging,2,64,32768,262144,0,0,64,134217728,0,3600000000000,1,0,42,2097152,usage,2594176,0,0,0,0,0,0,3407872,246.700229
43,bench_p26_wt,bench_p26_wt_logging,2,64,32768,65536,0,0,64,134217728,0,3600000000000,1,0,42,2097152,write,9746432,27020791,9978902,153571,10243043916,5109197824,10064429056,3600010526628,247.829889
43,bench_p26_wt,bench_p26_wt_logging,2,64,32768,65536,0,0,64,134217728,0,3600000000000,1,0,42,2097152,stack,9746432,0,0,0,0,0,0,1904,247.829965
43,bench_p26_wt,bench_p26_wt_logging,2,64,32768,65536,0,0,64,134217728,0,3600000000000,1,0,42,2097152,ctx,9746432,0,0,0,0,0,0,400,247.829999
43,bench_p26_wt,bench_p26_wt_logging,2,64,32768,65536,0,0,64,134217728,0,3600000000000,1,0,42,2097152,heap,9746432,0,0,0,0,0,0,1552,247.830029
43,bench_p26_wt,bench_p26_wt_logging,2,64,32768,65536,0,0,64,134217728,0,3600000000000,1,0,42,2097152,usage,9746432,0,0,0,0,0,0,3801088,247.830056
44,bench_p26_wt,bench_p26_wt_logging,2,64,32768,131072,0,0,64,134217728,0,3600000000000,1,0,42,2097152,write,5071808,24107915,10215513,79566,10492696364,5230342656,10428874752,3600054197828,251.193849
44,bench_p26_wt,bench_p26_wt_logging,2,64,32768,131072,0,0,64,134217728,0,3600000000000,1,0,42,2097152,stack,5071808,0,0,0,0,0,0,1904,251.193922
44,bench_p26_wt,bench_p26_wt_logging,2,64,32768,131072,0,0,64,134217728,0,3600000000000,1,0,42,2097152,ctx,5071808,0,0,0,0,0,0,400,251.193953
44,bench_p26_wt,bench_p26_wt_logging,2,64,32768,131072,0,0,64,134217728,0,3600000000000,1,0,42,2097152,heap,5071808,0,0,0,0,0,0,1552,251.193978
44,bench_p26_wt,bench_p26_wt_logging,2,64,32768,131072,0,0,64,134217728,0,3600000000000,1,0,42,2097152,usage,5071808,0,0,0,0,0,0,3670016,251.194002
