i,suite,case,SIZE,NO_SET,BLOCK_SIZE,SKIP_WARMUP,CHUNK,FS,SEED,FILE_COUNT,SIM_SIZE,FILE_SIZE,DISK_SIZE,SIM_TIME,DISK_GEOMETRY,NO_FRUNCATE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
15,bench_p26_wt,bench_p26_wt_linear,2097152,0,32768,0,64,3,42,32768,0,64,134217728,3600000000000,0,0,heap,248163136,0,0,0,0,0,0,784,5.881242
15,bench_p26_wt,bench_p26_wt_linear,2097152,0,32768,0,64,3,42,32768,0,64,134217728,3600000000000,0,0,usage,248163136,0,0,0,0,0,0,884736,5.881270
19,bench_p26_wt,bench_p26_wt_linear,2097152,0,524288,0,64,3,42,32768,0,64,134217728,3600000000000,0,0,write,244875328,56684670,1298994,68352,56684670,279488449,279969792,3603089673475,5.942933
19,bench_p26_wt,bench_p26_wt_linear,2097152,0,524288,0,64,3,42,32768,0,64,134217728,3600000000000,0,0,stack,244875328,0,0,0,0,0,0,3296,5.943012
19,bench_p26_wt,bench_p26_wt_linear,2097152,0,524288,0,64,3,42,32768,0,64,134217728,3600000000000,0,0,ctx,244875328,0,0,0,0,0,0,624,5.943047
19,bench_p26_wt,bench_p26_wt_linear,2097152,0,524288,0,64,3,42,32768,0,64,134217728,3600000000000,0,0,heap,244875328,0,0,0,0,0,0,784,5.943077
19,bench_p26_wt,bench_p26_wt_linear,2097152,0,524288,0,64,3,42,32768,0,64,134217728,3600000000000,0,0,usage,244875328,0,0,0,0,0,0,3670016,5.943104
16,bench_p26_wt,bench_p26_wt_linear,2097152,0,65536,0,64,3,42,32768,0,64,134217728,3600000000000,0,0,write,247074880,56415816,1290058,68368,56415816,279454486,280035328,3600222708706,5.964838
16,bench_p26_wt,bench_p26_wt_linear,2097152,0,65536,0,64,3,42,32768,0,64,134217728,3600000000000,0,0,stack,247074880,0,0,0,0,0,0,3312,5.964898
16,bench_p26_wt,bench_p26_wt_linear,2097152,0,65536,0,64,3,42,32768,0,64,134217728,3600000000000,0,0,ctx,247074880,0,0,0,0,0,0,624,5.964932
