i,suite,case,SIM_SIZE,NO_FRUNCATE,FILE_COUNT,FS,SIM_TIME,SKIP_WARMUP,SIZE,CHUNK,FILE_SIZE,DISK_SIZE,DISK_GEOMETRY,SEED,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
14,bench_p26_wt,bench_p26_wt_linear,0,0,64,4,3600000000000,0,4096,64,64,134217728,1,42,stack,488695872,0,0,0,0,0,0,1296,59.528782
14,bench_p26_wt,bench_p26_wt_linear,0,0,64,4,3600000000000,0,4096,64,64,134217728,1,42,ctx,488695872,0,0,0,0,0,0,336,59.528858
14,bench_p26_wt,bench_p26_wt_linear,0,0,64,4,3600000000000,0,4096,64,64,134217728,1,42,heap,488695872,0,0,0,0,0,0,2696,59.528911
14,bench_p26_wt,bench_p26_wt_linear,0,0,64,4,3600000000000,0,4096,64,64,134217728,1,42,usage,488695872,0,0,0,0,0,0,3647479,59.528958
22,bench_p26_wt,bench_p26_wt_linear,0,0,16384,4,3600000000000,0,1048576,64,64,134217728,1,42,write,407276608,31412227,9669753,6395,16070066092,4950913536,838205440,3600004390852,65.018059
22,bench_p26_wt,bench_p26_wt_linear,0,0,16384,4,3600000000000,0,1048576,64,64,134217728,1,42,stack,407276608,0,0,0,0,0,0,1296,65.018188
22,bench_p26_wt,bench_p26_wt_linear,0,0,16384,4,3600000000000,0,1048576,64,64,134217728,1,42,ctx,407276608,0,0,0,0,0,0,336,65.018251
22,bench_p26_wt,bench_p26_wt_linear,0,0,16384,4,3600000000000,0,1048576,64,64,134217728,1,42,heap,407276608,0,0,0,0,0,0,2696,65.018303
22,bench_p26_wt,bench_p26_wt_linear,0,0,16384,4,3600000000000,0,1048576,64,64,134217728,1,42,usage,407276608,0,0,0,0,0,0,4077544,65.018355
23,bench_p26_wt,bench_p26_wt_linear,0,0,32768,4,3600000000000,0,2097152,64,64,134217728,1,42,write,404750400,31754442,9636292,6358,16245355356,4933781504,833355776,3602986477524,66.582160
23,bench_p26_wt,bench_p26_wt_linear,0,0,32768,4,3600000000000,0,2097152,64,64,134217728,1,42,stack,404750400,0,0,0,0,0,0,1296,66.582274
23,bench_p26_wt,bench_p26_wt_linear,0,0,32768,4,3600000000000,0,2097152,64,64,134217728,1,42,ctx,404750400,0,0,0,0,0,0,336,66.582340
23,bench_p26_wt,bench_p26_wt_linear,0,0,32768,4,3600000000000,0,2097152,64,64,134217728,1,42,heap,404750400,0,0,0,0,0,0,2696,66.582392
23,bench_p26_wt,bench_p26_wt_linear,0,0,32768,4,3600000000000,0,2097152,64,64,134217728,1,42,usage,404750400,0,0,0,0,0,0,3645467,66.582442
19,bench_p26_wt,bench_p26_wt_linear,0,0,2048,4,3600000000000,0,131072,64,64,134217728,1,42,write,420059712,31434468,9665418,6601,16081034892,4948694016,865206272,3600039108708,68.079518
19,bench_p26_wt,bench_p26_wt_linear,0,0,2048,4,3600000000000,0,131072,64,64,134217728,1,42,stack,420059712,0,0,0,0,0,0,1296,68.079636
19,bench_p26_wt,bench_p26_wt_linear,0,0,2048,4,3600000000000,0,131072,64,64,134217728,1,42,ctx,420059712,0,0,0,0,0,0,336,68.079690
19,bench_p26_wt,bench_p26_wt_linear,0,0,2048,4,3600000000000,0,131072,64,64,134217728,1,42,heap,420059712,0,0,0,0,0,0,2696,68.079736
19,bench_p26_wt,bench_p26_wt_linear,0,0,2048,4,3600000000000,0,131072,64,64,134217728,1,42,usage,420059712,0,0,0,0,0,0,3750594,68.079780
