i,suite,case,CHUNK,FILE_SIZE,FILE_COUNT,SIM_TIME,SEED,NO_FRUNCATE,FS,SKIP_WARMUP,NO_SET,SIM_SIZE,DISK_GEOMETRY,SIZE,DISK_SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
12,bench_p26_wt,bench_p26_wt_linear,64,64,16,3600000000000,42,0,3,0,0,0,1,1024,134217728,write,4609141312,46490612,9002523,35166,2705166658,4609291776,4609277952,3600001546726,88.569564
12,bench_p26_wt,bench_p26_wt_linear,64,64,16,3600000000000,42,0,3,0,0,0,1,1024,134217728,stack,4609141312,0,0,0,0,0,0,3184,88.569659
12,bench_p26_wt,bench_p26_wt_linear,64,64,16,3600000000000,42,0,3,0,0,0,1,1024,134217728,ctx,4609141312,0,0,0,0,0,0,624,88.569705
12,bench_p26_wt,bench_p26_wt_linear,64,64,16,3600000000000,42,0,3,0,0,0,1,1024,134217728,heap,4609141312,0,0,0,0,0,0,1296,88.569746
12,bench_p26_wt,bench_p26_wt_linear,64,64,16,3600000000000,42,0,3,0,0,0,1,1024,134217728,usage,4609141312,0,0,0,0,0,0,655360,88.569786
19,bench_p26_wt,bench_p26_wt_linear,64,64,2048,3600000000000,42,0,3,0,0,0,1,131072,134217728,write,5002764352,20017910,11548047,45273,1124050871,5912600064,5934022656,3600015694997,94.114642
19,bench_p26_wt,bench_p26_wt_linear,64,64,2048,3600000000000,42,0,3,0,0,0,1,131072,134217728,stack,5002764352,0,0,0,0,0,0,3200,94.114744
19,bench_p26_wt,bench_p26_wt_linear,64,64,2048,3600000000000,42,0,3,0,0,0,1,131072,134217728,ctx,5002764352,0,0,0,0,0,0,624,94.114794
19,bench_p26_wt,bench_p26_wt_linear,64,64,2048,3600000000000,42,0,3,0,0,0,1,131072,134217728,heap,5002764352,0,0,0,0,0,0,1296,94.114837
19,bench_p26_wt,bench_p26_wt_linear,64,64,2048,3600000000000,42,0,3,0,0,0,1,131072,134217728,usage,5002764352,0,0,0,0,0,0,786432,94.114878
21,bench_p26_wt,bench_p26_wt_linear,64,64,8192,3600000000000,42,0,3,0,0,0,1,524288,134217728,write,4831409216,24000118,11181799,43722,1137089629,5725081088,5730729984,3600008664295,94.504223
21,bench_p26_wt,bench_p26_wt_linear,64,64,8192,3600000000000,42,0,3,0,0,0,1,524288,134217728,stack,4831409216,0,0,0,0,0,0,3312,94.504323
21,bench_p26_wt,bench_p26_wt_linear,64,64,8192,3600000000000,42,0,3,0,0,0,1,524288,134217728,ctx,4831409216,0,0,0,0,0,0,624,94.504369
21,bench_p26_wt,bench_p26_wt_linear,64,64,8192,3600000000000,42,0,3,0,0,0,1,524288,134217728,heap,4831409216,0,0,0,0,0,0,1296,94.504410
21,bench_p26_wt,bench_p26_wt_linear,64,64,8192,3600000000000,42,0,3,0,0,0,1,524288,134217728,usage,4831409216,0,0,0,0,0,0,786432,94.504450
23,bench_p26_wt,bench_p26_wt_linear,64,64,32768,3600000000000,42,0,3,0,0,0,1,2097152,134217728,write,4630589504,28918859,10728232,41919,1158180569,5492854784,5494407168,3600008792603,96.397388
23,bench_p26_wt,bench_p26_wt_linear,64,64,32768,3600000000000,42,0,3,0,0,0,1,2097152,134217728,stack,4630589504,0,0,0,0,0,0,3312,96.397481
23,bench_p26_wt,bench_p26_wt_linear,64,64,32768,3600000000000,42,0,3,0,0,0,1,2097152,134217728,ctx,4630589504,0,0,0,0,0,0,624,96.397527
23,bench_p26_wt,bench_p26_wt_linear,64,64,32768,3600000000000,42,0,3,0,0,0,1,2097152,134217728,heap,4630589504,0,0,0,0,0,0,1296,96.397568
23,bench_p26_wt,bench_p26_wt_linear,64,64,32768,3600000000000,42,0,3,0,0,0,1,2097152,134217728,usage,4630589504,0,0,0,0,0,0,786432,96.397606
22,bench_p26_wt,bench_p26_wt_linear,64,64,16384,3600000000000,42,0,3,0,0,0,1,1048576,134217728,write,4744857152,26103707,10987850,42945,1146354268,5625779200,5628887040,3600008794324,97.695319
22,bench_p26_wt,bench_p26_wt_linear,64,64,16384,3600000000000,42,0,3,0,0,0,1,1048576,134217728,stack,4744857152,0,0,0,0,0,0,3280,97.695418
22,bench_p26_wt,bench_p26_wt_linear,64,64,16384,3600000000000,42,0,3,0,0,0,1,1048576,134217728,ctx,4744857152,0,0,0,0,0,0,624,97.703704
22,bench_p26_wt,bench_p26_wt_linear,64,64,16384,3600000000000,42,0,3,0,0,0,1,1048576,134217728,heap,4744857152,0,0,0,0,0,0,1296,97.703756
22,bench_p26_wt,bench_p26_wt_linear,64,64,16384,3600000000000,42,0,3,0,0,0,1,1048576,134217728,usage,4744857152,0,0,0,0,0,0,786432,97.703799
20,bench_p26_wt,bench_p26_wt_linear,64,64,4096,3600000000000,42,0,3,0,0,0,1,262144,134217728,write,4966286400,20727908,11483226,44942,1125184830,5879411712,5890637824,3600008884122,99.146744
20,bench_p26_wt,bench_p26_wt_linear,64,64,4096,3600000000000,42,0,3,0,0,0,1,262144,134217728,stack,4966286400,0,0,0,0,0,0,3280,99.146833
20,bench_p26_wt,bench_p26_wt_linear,64,64,4096,3600000000000,42,0,3,0,0,0,1,262144,134217728,ctx,4966286400,0,0,0,0,0,0,624,99.146875
20,bench_p26_wt,bench_p26_wt_linear,64,64,4096,3600000000000,42,0,3,0,0,0,1,262144,134217728,heap,4966286400,0,0,0,0,0,0,1296,99.146909
20,bench_p26_wt,bench_p26_wt_linear,64,64,4096,3600000000000,42,0,3,0,0,0,1,262144,134217728,usage,4966286400,0,0,0,0,0,0,917504,99.146939
27,bench_p26_wt,bench_p26_wt_linear,64,64,524288,3600000000000,42,0,3,0,0,0,1,33554432,134217728,write,2885291584,72007525,6752492,26383,1353144344,3457275904,3458072576,3600076648904,43.720891
27,bench_p26_wt,bench_p26_wt_linear,64,64,524288,3600000000000,42,0,3,0,0,0,1,33554432,134217728,stack,2885291584,0,0,0,0,0,0,3312,43.720983
27,bench_p26_wt,bench_p26_wt_linear,64,64,524288,3600000000000,42,0,3,0,0,0,1,33554432,134217728,ctx,2885291584,0,0,0,0,0,0,624,43.721025
27,bench_p26_wt,bench_p26_wt_linear,64,64,524288,3600000000000,42,0,3,0,0,0,1,33554432,134217728,heap,2885291584,0,0,0,0,0,0,1296,43.721066
27,bench_p26_wt,bench_p26_wt_linear,64,64,524288,3600000000000,42,0,3,0,0,0,1,33554432,134217728,usage,2885291584,0,0,0,0,0,0,33816576,43.721104
26,bench_p26_wt,bench_p26_wt_linear,64,64,262144,3600000000000,42,0,3,0,0,0,1,16777216,134217728,write,3784838208,49749771,8806038,34406,1252642197,4508691456,4509663232,3600002090511,47.874799
26,bench_p26_wt,bench_p26_wt_linear,64,64,262144,3600000000000,42,0,3,0,0,0,1,16777216,134217728,stack,3784838208,0,0,0,0,0,0,3312,47.874908
26,bench_p26_wt,bench_p26_wt_linear,64,64,262144,3600000000000,42,0,3,0,0,0,1,16777216,134217728,ctx,3784838208,0,0,0,0,0,0,624,47.874945
26,bench_p26_wt,bench_p26_wt_linear,64,64,262144,3600000000000,42,0,3,0,0,0,1,16777216,134217728,heap,3784838208,0,0,0,0,0,0,1296,47.874976
26,bench_p26_wt,bench_p26_wt_linear,64,64,262144,3600000000000,42,0,3,0,0,0,1,16777216,134217728,usage,3784838208,0,0,0,0,0,0,10616832,47.875004
