i,suite,case,FS,SEED,SIM_SIZE,FILE_COUNT,SIZE,NO_FRUNCATE,SIM_TIME,CHUNK,DISK_GEOMETRY,FILE_SIZE,SKIP_WARMUP,DISK_SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
15,bench_p26_wt,bench_p26_wt_linear,4,42,0,128,8192,0,3600000000000,64,0,64,0,134217728,stack,16172608,0,0,0,0,0,0,1296,169.851572
15,bench_p26_wt,bench_p26_wt_linear,4,42,0,128,8192,0,3600000000000,64,0,64,0,134217728,ctx,16172608,0,0,0,0,0,0,336,169.851634
15,bench_p26_wt,bench_p26_wt_linear,4,42,0,128,8192,0,3600000000000,64,0,64,0,134217728,heap,16172608,0,0,0,0,0,0,1160,169.851681
15,bench_p26_wt,bench_p26_wt_linear,4,42,0,128,8192,0,3600000000000,64,0,64,0,134217728,usage,16172608,0,0,0,0,0,0,12821427,169.851725
22,bench_p26_wt,bench_p26_wt_linear,4,42,0,16384,1048576,0,3600000000000,64,0,64,0,134217728,write,14593088,73984736256,707670,7930,73984736256,46006462,32481280,3600261496858,169.907875
22,bench_p26_wt,bench_p26_wt_linear,4,42,0,16384,1048576,0,3600000000000,64,0,64,0,134217728,stack,14593088,0,0,0,0,0,0,1296,169.907984
22,bench_p26_wt,bench_p26_wt_linear,4,42,0,16384,1048576,0,3600000000000,64,0,64,0,134217728,ctx,14593088,0,0,0,0,0,0,336,169.908041
22,bench_p26_wt,bench_p26_wt_linear,4,42,0,16384,1048576,0,3600000000000,64,0,64,0,134217728,heap,14593088,0,0,0,0,0,0,1160,169.908086
22,bench_p26_wt,bench_p26_wt_linear,4,42,0,16384,1048576,0,3600000000000,64,0,64,0,134217728,usage,14593088,0,0,0,0,0,0,13797077,169.908130
12,bench_p26_wt,bench_p26_wt_linear,4,42,0,16,1024,0,3600000000000,64,0,64,0,134217728,write,14833472,73017052928,718492,8694,73017052928,35293257,35610624,3600059771243,170.068636
