i,suite,case,SKIP_WARMUP,SIZE,DISK_SIZE,SIM_SIZE,DISK_GEOMETRY,NO_FRUNCATE,FILE_COUNT,SIM_TIME,FS,FILE_SIZE,SEED,CHUNK,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
21,bench_p26_wt,bench_p26_wt_linear,0,524288,134217728,0,1,0,8192,3600000000000,2,64,42,64,write,6065626112,11906233,11858498,57847,6072893764,6071550976,7582121984,3600000738316,89.297644
21,bench_p26_wt,bench_p26_wt_linear,0,524288,134217728,0,1,0,8192,3600000000000,2,64,42,64,stack,6065626112,0,0,0,0,0,0,1856,89.297736
21,bench_p26_wt,bench_p26_wt_linear,0,524288,134217728,0,1,0,8192,3600000000000,2,64,42,64,ctx,6065626112,0,0,0,0,0,0,400,89.297801
21,bench_p26_wt,bench_p26_wt_linear,0,524288,134217728,0,1,0,8192,3600000000000,2,64,42,64,heap,6065626112,0,0,0,0,0,0,1552,89.297854
21,bench_p26_wt,bench_p26_wt_linear,0,524288,134217728,0,1,0,8192,3600000000000,2,64,42,64,usage,6065626112,0,0,0,0,0,0,524288,89.297906
22,bench_p26_wt,bench_p26_wt_linear,0,1048576,134217728,0,1,0,16384,3600000000000,2,64,42,64,write,6087533568,11948346,11895522,52250,6091762632,6090507264,6848512000,3600000904152,89.285608
22,bench_p26_wt,bench_p26_wt_linear,0,1048576,134217728,0,1,0,16384,3600000000000,2,64,42,64,stack,6087533568,0,0,0,0,0,0,1856,89.285686
22,bench_p26_wt,bench_p26_wt_linear,0,1048576,134217728,0,1,0,16384,3600000000000,2,64,42,64,ctx,6087533568,0,0,0,0,0,0,400,89.285733
22,bench_p26_wt,bench_p26_wt_linear,0,1048576,134217728,0,1,0,16384,3600000000000,2,64,42,64,heap,6087533568,0,0,0,0,0,0,1552,89.285766
22,bench_p26_wt,bench_p26_wt_linear,0,1048576,134217728,0,1,0,16384,3600000000000,2,64,42,64,usage,6087533568,0,0,0,0,0,0,917504,89.285796
18,bench_p26_wt,bench_p26_wt_linear,0,65536,134217728,0,1,0,1024,3600000000000,2,64,42,64,write,5959391744,11659356,11639439,90934,5961281420,5959392768,11918901248,3600000332132,89.586710
18,bench_p26_wt,bench_p26_wt_linear,0,65536,134217728,0,1,0,1024,3600000000000,2,64,42,64,stack,5959391744,0,0,0,0,0,0,1856,89.586797
18,bench_p26_wt,bench_p26_wt_linear,0,65536,134217728,0,1,0,1024,3600000000000,2,64,42,64,ctx,5959391744,0,0,0,0,0,0,400,89.586849
