i,suite,case,FS,DISK_GEOMETRY,FILE_COUNT,CHUNK,FILE_SIZE,SEED,SIZE,NO_FRUNCATE,SIM_SIZE,SIM_TIME,SKIP_WARMUP,DISK_SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
18,bench_p26_wt,bench_p26_wt_linear,4,0,32768,64,64,42,2097152,0,0,3600000000000,0,1073741824,write,2148160,87662211840,104963,1170,87662211840,6777331,4792320,3601264305673,117.425114
18,bench_p26_wt,bench_p26_wt_linear,4,0,32768,64,64,42,2097152,0,0,3600000000000,0,1073741824,stack,2148160,0,0,0,0,0,0,1296,117.425184
18,bench_p26_wt,bench_p26_wt_linear,4,0,32768,64,64,42,2097152,0,0,3600000000000,0,1073741824,ctx,2148160,0,0,0,0,0,0,336,117.425218
18,bench_p26_wt,bench_p26_wt_linear,4,0,32768,64,64,42,2097152,0,0,3600000000000,0,1073741824,heap,2148160,0,0,0,0,0,0,1160,117.425245
18,bench_p26_wt,bench_p26_wt_linear,4,0,32768,64,64,42,2097152,0,0,3600000000000,0,1073741824,usage,2148160,0,0,0,0,0,0,102557584,117.425272
19,bench_p26_wt,bench_p26_wt_linear,4,0,32768,64,64,42,2097152,0,0,3600000000000,0,2147483648,write,1219392,88859628544,49395,660,88859628544,3803599,2703360,3603920845661,124.844020
19,bench_p26_wt,bench_p26_wt_linear,4,0,32768,64,64,42,2097152,0,0,3600000000000,0,2147483648,stack,1219392,0,0,0,0,0,0,1296,124.844089
19,bench_p26_wt,bench_p26_wt_linear,4,0,32768,64,64,42,2097152,0,0,3600000000000,0,2147483648,ctx,1219392,0,0,0,0,0,0,336,124.844119
19,bench_p26_wt,bench_p26_wt_linear,4,0,32768,64,64,42,2097152,0,0,3600000000000,0,2147483648,heap,1219392,0,0,0,0,0,0,1160,124.844143
19,bench_p26_wt,bench_p26_wt_linear,4,0,32768,64,64,42,2097152,0,0,3600000000000,0,2147483648,usage,1219392,0,0,0,0,0,0,206243464,124.844166
