i,suite,case,FS,SEED,SKIP_WARMUP,SIM_TIME,FILE_SIZE,NO_SET,DISK_SIZE,CHUNK,DISK_GEOMETRY,SIM_SIZE,SIZE,FILE_COUNT,NO_FRUNCATE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
16,bench_p26_wt,bench_p26_wt_linear,3,42,0,3600000000000,64,0,268435456,64,1,0,2097152,32768,0,usage,4631830592,0,0,0,0,0,0,2097152,83.253340
17,bench_p26_wt,bench_p26_wt_linear,3,42,0,3600000000000,64,0,536870912,64,1,0,2097152,32768,0,write,4632223808,28891789,10730890,41930,1155756469,5494215680,5495848960,3600009063535,85.629372
17,bench_p26_wt,bench_p26_wt_linear,3,42,0,3600000000000,64,0,536870912,64,1,0,2097152,32768,0,stack,4632223808,0,0,0,0,0,0,3312,85.629458
17,bench_p26_wt,bench_p26_wt_linear,3,42,0,3600000000000,64,0,536870912,64,1,0,2097152,32768,0,ctx,4632223808,0,0,0,0,0,0,624,85.629495
17,bench_p26_wt,bench_p26_wt_linear,3,42,0,3600000000000,64,0,536870912,64,1,0,2097152,32768,0,heap,4632223808,0,0,0,0,0,0,1296,85.629526
17,bench_p26_wt,bench_p26_wt_linear,3,42,0,3600000000000,64,0,536870912,64,1,0,2097152,32768,0,usage,4632223808,0,0,0,0,0,0,2490368,85.629553
19,bench_p26_wt,bench_p26_wt_linear,3,42,0,3600000000000,64,0,2147483648,64,1,0,2097152,32768,0,write,4632748096,28883535,10731722,41933,1155098882,5494641664,5496242176,3600015591206,96.348973
19,bench_p26_wt,bench_p26_wt_linear,3,42,0,3600000000000,64,0,2147483648,64,1,0,2097152,32768,0,stack,4632748096,0,0,0,0,0,0,3312,96.349060
19,bench_p26_wt,bench_p26_wt_linear,3,42,0,3600000000000,64,0,2147483648,64,1,0,2097152,32768,0,ctx,4632748096,0,0,0,0,0,0,624,96.357638
19,bench_p26_wt,bench_p26_wt_linear,3,42,0,3600000000000,64,0,2147483648,64,1,0,2097152,32768,0,heap,4632748096,0,0,0,0,0,0,1296,96.357690
19,bench_p26_wt,bench_p26_wt_linear,3,42,0,3600000000000,64,0,2147483648,64,1,0,2097152,32768,0,usage,4632748096,0,0,0,0,0,0,917504,96.357723
20,bench_p26_wt,bench_p26_wt_linear,3,42,0,3600000000000,64,0,4294967296,64,1,0,2097152,32768,0,write,4624152128,29066235,10714767,41868,1156813708,5485960704,5487722496,3600009166180,113.779479
20,bench_p26_wt,bench_p26_wt_linear,3,42,0,3600000000000,64,0,4294967296,64,1,0,2097152,32768,0,stack,4624152128,0,0,0,0,0,0,3312,113.779550
20,bench_p26_wt,bench_p26_wt_linear,3,42,0,3600000000000,64,0,4294967296,64,1,0,2097152,32768,0,ctx,4624152128,0,0,0,0,0,0,624,113.779592
20,bench_p26_wt,bench_p26_wt_linear,3,42,0,3600000000000,64,0,4294967296,64,1,0,2097152,32768,0,heap,4624152128,0,0,0,0,0,0,1296,113.779616
20,bench_p26_wt,bench_p26_wt_linear,3,42,0,3600000000000,64,0,4294967296,64,1,0,2097152,32768,0,usage,4624152128,0,0,0,0,0,0,2752512,113.779638
21,bench_p26_wt,bench_p26_wt_random,3,42,0,3600000000000,64,0,16777216,64,1,0,2097152,32768,0,write,12795520,112386368,2905176,13151,3086391793,1487450112,1723727872,3600641948899,24.861076
21,bench_p26_wt,bench_p26_wt_random,3,42,0,3600000000000,64,0,16777216,64,1,0,2097152,32768,0,stack,12795520,0,0,0,0,0,0,3200,24.861179
21,bench_p26_wt,bench_p26_wt_random,3,42,0,3600000000000,64,0,16777216,64,1,0,2097152,32768,0,ctx,12795520,0,0,0,0,0,0,608,24.861229
21,bench_p26_wt,bench_p26_wt_random,3,42,0,3600000000000,64,0,16777216,64,1,0,2097152,32768,0,heap,12795520,0,0,0,0,0,0,1296,24.861271
21,bench_p26_wt,bench_p26_wt_random,3,42,0,3600000000000,64,0,16777216,64,1,0,2097152,32768,0,usage,12795520,0,0,0,0,0,0,5373952,24.861311
26,bench_p26_wt,bench_p26_wt_random,3,42,0,3600000000000,64,0,536870912,64,1,0,2097152,32768,0,write,13117888,111781004,2959622,13404,3115386850,1515326464,1756889088,3600946158022,30.442093
26,bench_p26_wt,bench_p26_wt_random,3,42,0,3600000000000,64,0,536870912,64,1,0,2097152,32768,0,stack,13117888,0,0,0,0,0,0,3120,30.442191
26,bench_p26_wt,bench_p26_wt_random,3,42,0,3600000000000,64,0,536870912,64,1,0,2097152,32768,0,ctx,13117888,0,0,0,0,0,0,608,30.442240
26,bench_p26_wt,bench_p26_wt_random,3,42,0,3600000000000,64,0,536870912,64,1,0,2097152,32768,0,heap,13117888,0,0,0,0,0,0,1296,30.442302
26,bench_p26_wt,bench_p26_wt_random,3,42,0,3600000000000,64,0,536870912,64,1,0,2097152,32768,0,usage,13117888,0,0,0,0,0,0,5242880,30.442341
25,bench_p26_wt,bench_p26_wt_random,3,42,0,3600000000000,64,0,268435456,64,1,0,2097152,32768,0,write,13121088,111729456,2961306,13413,3115433408,1516188672,1758068736,3600135033152,31.165211
25,bench_p26_wt,bench_p26_wt_random,3,42,0,3600000000000,64,0,268435456,64,1,0,2097152,32768,0,stack,13121088,0,0,0,0,0,0,3120,31.165302
25,bench_p26_wt,bench_p26_wt_random,3,42,0,3600000000000,64,0,268435456,64,1,0,2097152,32768,0,ctx,13121088,0,0,0,0,0,0,608,31.165348
25,bench_p26_wt,bench_p26_wt_random,3,42,0,3600000000000,64,0,268435456,64,1,0,2097152,32768,0,heap,13121088,0,0,0,0,0,0,1296,31.165389
25,bench_p26_wt,bench_p26_wt_random,3,42,0,3600000000000,64,0,268435456,64,1,0,2097152,32768,0,usage,13121088,0,0,0,0,0,0,4980736,31.165428
22,bench_p26_wt,bench_p26_wt_random,3,42,0,3600000000000,64,0,33554432,64,1,0,2097152,32768,0,write,12973952,112040613,2933849,13288,3100780010,1502130688,1741684736,3600130455134,34.482768
22,bench_p26_wt,bench_p26_wt_random,3,42,0,3600000000000,64,0,33554432,64,1,0,2097152,32768,0,stack,12973952,0,0,0,0,0,0,3200,34.482860
22,bench_p26_wt,bench_p26_wt_random,3,42,0,3600000000000,64,0,33554432,64,1,0,2097152,32768,0,ctx,12973952,0,0,0,0,0,0,608,34.482907
22,bench_p26_wt,bench_p26_wt_random,3,42,0,3600000000000,64,0,33554432,64,1,0,2097152,32768,0,heap,12973952,0,0,0,0,0,0,1296,34.482948
22,bench_p26_wt,bench_p26_wt_random,3,42,0,3600000000000,64,0,33554432,64,1,0,2097152,32768,0,usage,12973952,0,0,0,0,0,0,5767168,34.482987
24,bench_p26_wt,bench_p26_wt_random,3,42,0,3600000000000,64,0,134217728,64,1,0,2097152,32768,0,write,13076096,111871247,2948980,13361,3107402239,1509877760,1751252992,3600165228013,34.920176
24,bench_p26_wt,bench_p26_wt_random,3,42,0,3600000000000,64,0,134217728,64,1,0,2097152,32768,0,stack,13076096,0,0,0,0,0,0,3120,34.920265
24,bench_p26_wt,bench_p26_wt_random,3,42,0,3600000000000,64,0,134217728,64,1,0,2097152,32768,0,ctx,13076096,0,0,0,0,0,0,608,34.920305
24,bench_p26_wt,bench_p26_wt_random,3,42,0,3600000000000,64,0,134217728,64,1,0,2097152,32768,0,heap,13076096,0,0,0,0,0,0,1296,34.920340
24,bench_p26_wt,bench_p26_wt_random,3,42,0,3600000000000,64,0,134217728,64,1,0,2097152,32768,0,usage,13076096,0,0,0,0,0,0,5373952,34.920374
