i,suite,case,FS,SEED,SKIP_WARMUP,SIM_TIME,FILE_SIZE,NO_SET,DISK_SIZE,CHUNK,DISK_GEOMETRY,SIM_SIZE,SIZE,FILE_COUNT,NO_FRUNCATE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
40,bench_p26_wt,bench_p26_wt_logging,3,42,0,3600000000000,64,0,33554432,64,1,0,2097152,32768,0,usage,77666304,0,0,0,0,0,0,3014656,44.492913
42,bench_p26_wt,bench_p26_wt_logging,3,42,0,3600000000000,64,0,134217728,64,1,0,2097152,32768,0,write,77765696,89054040,5026102,19640,3584196252,2573364224,2574254080,3600001288596,46.387157
42,bench_p26_wt,bench_p26_wt_logging,3,42,0,3600000000000,64,0,134217728,64,1,0,2097152,32768,0,stack,77765696,0,0,0,0,0,0,3296,46.387248
42,bench_p26_wt,bench_p26_wt_logging,3,42,0,3600000000000,64,0,134217728,64,1,0,2097152,32768,0,ctx,77765696,0,0,0,0,0,0,624,46.387291
42,bench_p26_wt,bench_p26_wt_logging,3,42,0,3600000000000,64,0,134217728,64,1,0,2097152,32768,0,heap,77765696,0,0,0,0,0,0,1296,46.387332
42,bench_p26_wt,bench_p26_wt_logging,3,42,0,3600000000000,64,0,134217728,64,1,0,2097152,32768,0,usage,77765696,0,0,0,0,0,0,3014656,46.387372
43,bench_p26_wt,bench_p26_wt_logging,3,42,0,3600000000000,64,0,268435456,64,1,0,2097152,32768,0,write,77785920,89049071,5026542,19642,3584412009,2573589504,2574516224,3600001418955,47.697390
43,bench_p26_wt,bench_p26_wt_logging,3,42,0,3600000000000,64,0,268435456,64,1,0,2097152,32768,0,stack,77785920,0,0,0,0,0,0,3296,47.697476
43,bench_p26_wt,bench_p26_wt_logging,3,42,0,3600000000000,64,0,268435456,64,1,0,2097152,32768,0,ctx,77785920,0,0,0,0,0,0,624,47.697514
43,bench_p26_wt,bench_p26_wt_logging,3,42,0,3600000000000,64,0,268435456,64,1,0,2097152,32768,0,heap,77785920,0,0,0,0,0,0,1296,47.697544
43,bench_p26_wt,bench_p26_wt_logging,3,42,0,3600000000000,64,0,268435456,64,1,0,2097152,32768,0,usage,77785920,0,0,0,0,0,0,3014656,47.697573
41,bench_p26_wt,bench_p26_wt_logging,3,42,0,3600000000000,64,0,67108864,64,1,0,2097152,32768,0,write,77732928,89062668,5025298,19636,3584459845,2572952576,2573729792,3600001768735,49.099224
41,bench_p26_wt,bench_p26_wt_logging,3,42,0,3600000000000,64,0,67108864,64,1,0,2097152,32768,0,stack,77732928,0,0,0,0,0,0,3296,49.099305
41,bench_p26_wt,bench_p26_wt_logging,3,42,0,3600000000000,64,0,67108864,64,1,0,2097152,32768,0,ctx,77732928,0,0,0,0,0,0,624,49.099357
41,bench_p26_wt,bench_p26_wt_logging,3,42,0,3600000000000,64,0,67108864,64,1,0,2097152,32768,0,heap,77732928,0,0,0,0,0,0,1296,49.099394
41,bench_p26_wt,bench_p26_wt_logging,3,42,0,3600000000000,64,0,67108864,64,1,0,2097152,32768,0,usage,77732928,0,0,0,0,0,0,2883584,49.099438
45,bench_p26_wt,bench_p26_wt_logging,3,42,0,3600000000000,64,0,1073741824,64,1,0,2097152,32768,0,write,77805184,89041946,5027205,19643,3584459630,2573928960,2574647296,3600001290026,57.696843
45,bench_p26_wt,bench_p26_wt_logging,3,42,0,3600000000000,64,0,1073741824,64,1,0,2097152,32768,0,stack,77805184,0,0,0,0,0,0,3296,57.696943
45,bench_p26_wt,bench_p26_wt_logging,3,42,0,3600000000000,64,0,1073741824,64,1,0,2097152,32768,0,ctx,77805184,0,0,0,0,0,0,624,57.696984
45,bench_p26_wt,bench_p26_wt_logging,3,42,0,3600000000000,64,0,1073741824,64,1,0,2097152,32768,0,heap,77805184,0,0,0,0,0,0,1296,57.697019
45,bench_p26_wt,bench_p26_wt_logging,3,42,0,3600000000000,64,0,1073741824,64,1,0,2097152,32768,0,usage,77805184,0,0,0,0,0,0,3014656,57.697054
46,bench_p26_wt,bench_p26_wt_logging,3,42,0,3600000000000,64,0,2147483648,64,1,0,2097152,32768,0,write,77808384,89040829,5027305,19644,3584464812,2573980160,2574778368,3600001861572,62.806912
46,bench_p26_wt,bench_p26_wt_logging,3,42,0,3600000000000,64,0,2147483648,64,1,0,2097152,32768,0,stack,77808384,0,0,0,0,0,0,3296,62.806995
46,bench_p26_wt,bench_p26_wt_logging,3,42,0,3600000000000,64,0,2147483648,64,1,0,2097152,32768,0,ctx,77808384,0,0,0,0,0,0,624,62.807031
46,bench_p26_wt,bench_p26_wt_logging,3,42,0,3600000000000,64,0,2147483648,64,1,0,2097152,32768,0,heap,77808384,0,0,0,0,0,0,1296,62.807064
46,bench_p26_wt,bench_p26_wt_logging,3,42,0,3600000000000,64,0,2147483648,64,1,0,2097152,32768,0,usage,77808384,0,0,0,0,0,0,3014656,62.807094
47,bench_p26_wt,bench_p26_wt_logging,3,42,0,3600000000000,64,0,4294967296,64,1,0,2097152,32768,0,write,77808384,89040790,5027301,19644,3584508239,2573978112,2574778368,3600000689885,73.441660
47,bench_p26_wt,bench_p26_wt_logging,3,42,0,3600000000000,64,0,4294967296,64,1,0,2097152,32768,0,stack,77808384,0,0,0,0,0,0,3296,73.441741
47,bench_p26_wt,bench_p26_wt_logging,3,42,0,3600000000000,64,0,4294967296,64,1,0,2097152,32768,0,ctx,77808384,0,0,0,0,0,0,624,73.441769
47,bench_p26_wt,bench_p26_wt_logging,3,42,0,3600000000000,64,0,4294967296,64,1,0,2097152,32768,0,heap,77808384,0,0,0,0,0,0,1296,73.441793
47,bench_p26_wt,bench_p26_wt_logging,3,42,0,3600000000000,64,0,4294967296,64,1,0,2097152,32768,0,usage,77808384,0,0,0,0,0,0,3014656,73.441814
