i,suite,case,SIM_TIME,SIZE,NO_FRUNCATE,SKIP_WARMUP,DISK_SIZE,SIM_SIZE,SEED,FILE_SIZE,NO_SET,FS,CHUNK,FILE_COUNT,DISK_GEOMETRY,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
18,bench_p26_wt,bench_p26_wt_linear,3600000000000,2097152,0,0,1073741824,0,42,64,0,3,64,32768,0,write,259285312,83847623,1197434,69164,83847623,276612788,283295744,3600023463028,17.215940
18,bench_p26_wt,bench_p26_wt_linear,3600000000000,2097152,0,0,1073741824,0,42,64,0,3,64,32768,0,stack,259285312,0,0,0,0,0,0,3312,17.216027
18,bench_p26_wt,bench_p26_wt_linear,3600000000000,2097152,0,0,1073741824,0,42,64,0,3,64,32768,0,ctx,259285312,0,0,0,0,0,0,624,17.216068
18,bench_p26_wt,bench_p26_wt_linear,3600000000000,2097152,0,0,1073741824,0,42,64,0,3,64,32768,0,heap,259285312,0,0,0,0,0,0,784,17.216113
18,bench_p26_wt,bench_p26_wt_linear,3600000000000,2097152,0,0,1073741824,0,42,64,0,3,64,32768,0,usage,259285312,0,0,0,0,0,0,1400832,17.216156
19,bench_p26_wt,bench_p26_wt_linear,3600000000000,2097152,0,0,2147483648,0,42,64,0,3,64,32768,0,write,259371328,83647530,1197063,69170,83647530,276634296,283320320,3600137412408,28.768261
19,bench_p26_wt,bench_p26_wt_linear,3600000000000,2097152,0,0,2147483648,0,42,64,0,3,64,32768,0,stack,259371328,0,0,0,0,0,0,3264,28.768339
19,bench_p26_wt,bench_p26_wt_linear,3600000000000,2097152,0,0,2147483648,0,42,64,0,3,64,32768,0,ctx,259371328,0,0,0,0,0,0,624,28.768373
19,bench_p26_wt,bench_p26_wt_linear,3600000000000,2097152,0,0,2147483648,0,42,64,0,3,64,32768,0,heap,259371328,0,0,0,0,0,0,784,28.768399
19,bench_p26_wt,bench_p26_wt_linear,3600000000000,2097152,0,0,2147483648,0,42,64,0,3,64,32768,0,usage,259371328,0,0,0,0,0,0,1490944,28.768428
20,bench_p26_wt,bench_p26_wt_linear,3600000000000,2097152,0,0,4294967296,0,42,64,0,3,64,32768,0,write,259371328,83646493,1197052,69169,83646493,276634736,283316224,3600087979224,50.012866
20,bench_p26_wt,bench_p26_wt_linear,3600000000000,2097152,0,0,4294967296,0,42,64,0,3,64,32768,0,stack,259371328,0,0,0,0,0,0,3264,50.012939
20,bench_p26_wt,bench_p26_wt_linear,3600000000000,2097152,0,0,4294967296,0,42,64,0,3,64,32768,0,ctx,259371328,0,0,0,0,0,0,624,50.012969
20,bench_p26_wt,bench_p26_wt_linear,3600000000000,2097152,0,0,4294967296,0,42,64,0,3,64,32768,0,heap,259371328,0,0,0,0,0,0,784,50.012993
20,bench_p26_wt,bench_p26_wt_linear,3600000000000,2097152,0,0,4294967296,0,42,64,0,3,64,32768,0,usage,259371328,0,0,0,0,0,0,1490944,50.013016
21,bench_p26_wt,bench_p26_wt_random,3600000000000,2097152,0,0,16777216,0,42,64,0,3,64,32768,0,write,7126848,905489601,2068186,60961,905489601,219084226,249696256,3611084380558,8.955311
21,bench_p26_wt,bench_p26_wt_random,3600000000000,2097152,0,0,16777216,0,42,64,0,3,64,32768,0,stack,7126848,0,0,0,0,0,0,3248,8.955413
