i,suite,case,SIM_TIME,SIZE,NO_FRUNCATE,SKIP_WARMUP,DISK_SIZE,SIM_SIZE,SEED,FILE_SIZE,NO_SET,FS,CHUNK,FILE_COUNT,DISK_GEOMETRY,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
40,bench_p26_wt,bench_p26_wt_logging,3600000000000,2097152,0,0,33554432,0,42,64,0,3,64,32768,0,write,15807552,850878673,2662174,55483,850878673,217826412,227258368,3600044637868,13.556361
40,bench_p26_wt,bench_p26_wt_logging,3600000000000,2097152,0,0,33554432,0,42,64,0,3,64,32768,0,stack,15807552,0,0,0,0,0,0,3264,13.556457
40,bench_p26_wt,bench_p26_wt_logging,3600000000000,2097152,0,0,33554432,0,42,64,0,3,64,32768,0,ctx,15807552,0,0,0,0,0,0,624,13.556505
40,bench_p26_wt,bench_p26_wt_logging,3600000000000,2097152,0,0,33554432,0,42,64,0,3,64,32768,0,heap,15807552,0,0,0,0,0,0,784,13.556546
40,bench_p26_wt,bench_p26_wt_logging,3600000000000,2097152,0,0,33554432,0,42,64,0,3,64,32768,0,usage,15807552,0,0,0,0,0,0,2322432,13.556587
39,bench_p26_wt,bench_p26_wt_logging,3600000000000,2097152,0,0,16777216,0,42,64,0,3,64,32768,0,write,15584000,859513064,2664135,55458,859513064,217657590,227155968,3600046490498,14.187036
39,bench_p26_wt,bench_p26_wt_logging,3600000000000,2097152,0,0,16777216,0,42,64,0,3,64,32768,0,stack,15584000,0,0,0,0,0,0,3264,14.187160
39,bench_p26_wt,bench_p26_wt_logging,3600000000000,2097152,0,0,16777216,0,42,64,0,3,64,32768,0,ctx,15584000,0,0,0,0,0,0,624,14.187207
39,bench_p26_wt,bench_p26_wt_logging,3600000000000,2097152,0,0,16777216,0,42,64,0,3,64,32768,0,heap,15584000,0,0,0,0,0,0,784,14.187255
39,bench_p26_wt,bench_p26_wt_logging,3600000000000,2097152,0,0,16777216,0,42,64,0,3,64,32768,0,usage,15584000,0,0,0,0,0,0,2285568,14.187291
44,bench_p26_wt,bench_p26_wt_logging,3600000000000,2097152,0,0,536870912,0,42,64,0,3,64,32768,0,write,15958080,839592416,2655076,55555,839592416,218550623,227553280,3600006742285,19.994244
44,bench_p26_wt,bench_p26_wt_logging,3600000000000,2097152,0,0,536870912,0,42,64,0,3,64,32768,0,stack,15958080,0,0,0,0,0,0,3264,19.994334
44,bench_p26_wt,bench_p26_wt_logging,3600000000000,2097152,0,0,536870912,0,42,64,0,3,64,32768,0,ctx,15958080,0,0,0,0,0,0,624,19.994375
44,bench_p26_wt,bench_p26_wt_logging,3600000000000,2097152,0,0,536870912,0,42,64,0,3,64,32768,0,heap,15958080,0,0,0,0,0,0,784,19.994413
44,bench_p26_wt,bench_p26_wt_logging,3600000000000,2097152,0,0,536870912,0,42,64,0,3,64,32768,0,usage,15958080,0,0,0,0,0,0,2322432,19.994447
45,bench_p26_wt,bench_p26_wt_logging,3600000000000,2097152,0,0,1073741824,0,42,64,0,3,64,32768,0,write,15976064,839200441,2656424,55544,839200441,218599254,227508224,3600036374602,25.342408
45,bench_p26_wt,bench_p26_wt_logging,3600000000000,2097152,0,0,1073741824,0,42,64,0,3,64,32768,0,stack,15976064,0,0,0,0,0,0,3264,25.342505
45,bench_p26_wt,bench_p26_wt_logging,3600000000000,2097152,0,0,1073741824,0,42,64,0,3,64,32768,0,ctx,15976064,0,0,0,0,0,0,624,25.342541
45,bench_p26_wt,bench_p26_wt_logging,3600000000000,2097152,0,0,1073741824,0,42,64,0,3,64,32768,0,heap,15976064,0,0,0,0,0,0,784,25.342570
45,bench_p26_wt,bench_p26_wt_logging,3600000000000,2097152,0,0,1073741824,0,42,64,0,3,64,32768,0,usage,15976064,0,0,0,0,0,0,2211840,25.342597
46,bench_p26_wt,bench_p26_wt_logging,3600000000000,2097152,0,0,2147483648,0,42,64,0,3,64,32768,0,write,15974912,839176851,2656339,55544,839176851,218605495,227508224,3600001538701,38.418921
46,bench_p26_wt,bench_p26_wt_logging,3600000000000,2097152,0,0,2147483648,0,42,64,0,3,64,32768,0,stack,15974912,0,0,0,0,0,0,3296,38.419007
46,bench_p26_wt,bench_p26_wt_logging,3600000000000,2097152,0,0,2147483648,0,42,64,0,3,64,32768,0,ctx,15974912,0,0,0,0,0,0,624,38.419041
46,bench_p26_wt,bench_p26_wt_logging,3600000000000,2097152,0,0,2147483648,0,42,64,0,3,64,32768,0,heap,15974912,0,0,0,0,0,0,784,38.419070
46,bench_p26_wt,bench_p26_wt_logging,3600000000000,2097152,0,0,2147483648,0,42,64,0,3,64,32768,0,usage,15974912,0,0,0,0,0,0,2211840,38.419096
47,bench_p26_wt,bench_p26_wt_logging,3600000000000,2097152,0,0,4294967296,0,42,64,0,3,64,32768,0,write,15973056,839121592,2656232,55545,839121592,218605387,227512320,3600001511249,58.941411
47,bench_p26_wt,bench_p26_wt_logging,3600000000000,2097152,0,0,4294967296,0,42,64,0,3,64,32768,0,stack,15973056,0,0,0,0,0,0,3264,58.941483
47,bench_p26_wt,bench_p26_wt_logging,3600000000000,2097152,0,0,4294967296,0,42,64,0,3,64,32768,0,ctx,15973056,0,0,0,0,0,0,624,58.941514
47,bench_p26_wt,bench_p26_wt_logging,3600000000000,2097152,0,0,4294967296,0,42,64,0,3,64,32768,0,heap,15973056,0,0,0,0,0,0,784,58.941538
47,bench_p26_wt,bench_p26_wt_logging,3600000000000,2097152,0,0,4294967296,0,42,64,0,3,64,32768,0,usage,15973056,0,0,0,0,0,0,2211840,58.941561
