i,suite,case,SEED,SIM_SIZE,FILE_SIZE,FS,CHUNK,DISK_SIZE,SIM_TIME,SKIP_WARMUP,FILE_COUNT,SIZE,DISK_GEOMETRY,NO_FRUNCATE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
18,bench_p26_wt,bench_p26_wt_linear,42,0,64,2,64,1073741824,3600000000000,0,32768,2097152,1,0,write,6098521600,11969986,11914085,49437,6101223736,6100011520,6479806464,3600000564520,74.881645
18,bench_p26_wt,bench_p26_wt_linear,42,0,64,2,64,1073741824,3600000000000,0,32768,2097152,1,0,stack,6098521600,0,0,0,0,0,0,1856,74.881735
18,bench_p26_wt,bench_p26_wt_linear,42,0,64,2,64,1073741824,3600000000000,0,32768,2097152,1,0,ctx,6098521600,0,0,0,0,0,0,400,74.881778
18,bench_p26_wt,bench_p26_wt_linear,42,0,64,2,64,1073741824,3600000000000,0,32768,2097152,1,0,heap,6098521600,0,0,0,0,0,0,1552,74.881816
18,bench_p26_wt,bench_p26_wt_linear,42,0,64,2,64,1073741824,3600000000000,0,32768,2097152,1,0,usage,6098521600,0,0,0,0,0,0,393216,74.881852
19,bench_p26_wt,bench_p26_wt_linear,42,0,64,2,64,2147483648,3600000000000,0,32768,2097152,1,0,write,6098371008,11973140,11913791,49434,6101480636,6099860992,6479413248,3600000742388,80.421282
19,bench_p26_wt,bench_p26_wt_linear,42,0,64,2,64,2147483648,3600000000000,0,32768,2097152,1,0,stack,6098371008,0,0,0,0,0,0,2000,80.421392
19,bench_p26_wt,bench_p26_wt_linear,42,0,64,2,64,2147483648,3600000000000,0,32768,2097152,1,0,ctx,6098371008,0,0,0,0,0,0,400,80.421431
19,bench_p26_wt,bench_p26_wt_linear,42,0,64,2,64,2147483648,3600000000000,0,32768,2097152,1,0,heap,6098371008,0,0,0,0,0,0,1552,80.421465
19,bench_p26_wt,bench_p26_wt_linear,42,0,64,2,64,2147483648,3600000000000,0,32768,2097152,1,0,usage,6098371008,0,0,0,0,0,0,2490368,80.421500
20,bench_p26_wt,bench_p26_wt_linear,42,0,64,2,64,4294967296,3600000000000,0,32768,2097152,1,0,write,6098297792,11974548,11913648,49434,6101609740,6099787776,6479413248,3600000677860,89.039632
20,bench_p26_wt,bench_p26_wt_linear,42,0,64,2,64,4294967296,3600000000000,0,32768,2097152,1,0,stack,6098297792,0,0,0,0,0,0,2000,89.039696
20,bench_p26_wt,bench_p26_wt_linear,42,0,64,2,64,4294967296,3600000000000,0,32768,2097152,1,0,ctx,6098297792,0,0,0,0,0,0,400,89.039726
20,bench_p26_wt,bench_p26_wt_linear,42,0,64,2,64,4294967296,3600000000000,0,32768,2097152,1,0,heap,6098297792,0,0,0,0,0,0,1552,89.039753
20,bench_p26_wt,bench_p26_wt_linear,42,0,64,2,64,4294967296,3600000000000,0,32768,2097152,1,0,usage,6098297792,0,0,0,0,0,0,2490368,89.039778
23,bench_p26_wt,bench_p26_wt_random,42,0,64,2,64,67108864,3600000000000,0,32768,2097152,1,0,write,318016,21571105,10701957,43010,10959340807,5479401984,5637406720,3600976858501,279.499581
23,bench_p26_wt,bench_p26_wt_random,42,0,64,2,64,67108864,3600000000000,0,32768,2097152,1,0,stack,318016,0,0,0,0,0,0,1840,279.499686
23,bench_p26_wt,bench_p26_wt_random,42,0,64,2,64,67108864,3600000000000,0,32768,2097152,1,0,ctx,318016,0,0,0,0,0,0,384,279.499738
23,bench_p26_wt,bench_p26_wt_random,42,0,64,2,64,67108864,3600000000000,0,32768,2097152,1,0,heap,318016,0,0,0,0,0,0,1552,279.499782
23,bench_p26_wt,bench_p26_wt_random,42,0,64,2,64,67108864,3600000000000,0,32768,2097152,1,0,usage,318016,0,0,0,0,0,0,2490368,279.499825
25,bench_p26_wt,bench_p26_wt_random,42,0,64,2,64,268435456,3600000000000,0,32768,2097152,1,0,write,318016,21571140,10701957,43010,10959342647,5479401984,5637406720,3600977753621,305.212986
25,bench_p26_wt,bench_p26_wt_random,42,0,64,2,64,268435456,3600000000000,0,32768,2097152,1,0,stack,318016,0,0,0,0,0,0,1840,305.213091
25,bench_p26_wt,bench_p26_wt_random,42,0,64,2,64,268435456,3600000000000,0,32768,2097152,1,0,ctx,318016,0,0,0,0,0,0,384,305.213151
25,bench_p26_wt,bench_p26_wt_random,42,0,64,2,64,268435456,3600000000000,0,32768,2097152,1,0,heap,318016,0,0,0,0,0,0,1552,305.213196
25,bench_p26_wt,bench_p26_wt_random,42,0,64,2,64,268435456,3600000000000,0,32768,2097152,1,0,usage,318016,0,0,0,0,0,0,2490368,305.213250
29,bench_p26_wt,bench_p26_wt_random,42,0,64,2,64,4294967296,3600000000000,0,32768,2097152,1,0,write,318016,21575471,10701957,43010,10959870747,5479401984,5637406720,3601094226177,333.835807
29,bench_p26_wt,bench_p26_wt_random,42,0,64,2,64,4294967296,3600000000000,0,32768,2097152,1,0,stack,318016,0,0,0,0,0,0,1984,333.835901
29,bench_p26_wt,bench_p26_wt_random,42,0,64,2,64,4294967296,3600000000000,0,32768,2097152,1,0,ctx,318016,0,0,0,0,0,0,384,333.835951
29,bench_p26_wt,bench_p26_wt_random,42,0,64,2,64,4294967296,3600000000000,0,32768,2097152,1,0,heap,318016,0,0,0,0,0,0,1552,333.835993
29,bench_p26_wt,bench_p26_wt_random,42,0,64,2,64,4294967296,3600000000000,0,32768,2097152,1,0,usage,318016,0,0,0,0,0,0,2752512,333.836035
22,bench_p26_wt,bench_p26_wt_random,42,0,64,2,64,33554432,3600000000000,0,32768,2097152,1,0,write,318016,21571269,10701957,43010,10959353827,5479401984,5637406720,3600981136345,388.799841
22,bench_p26_wt,bench_p26_wt_random,42,0,64,2,64,33554432,3600000000000,0,32768,2097152,1,0,stack,318016,0,0,0,0,0,0,1840,388.799943
22,bench_p26_wt,bench_p26_wt_random,42,0,64,2,64,33554432,3600000000000,0,32768,2097152,1,0,ctx,318016,0,0,0,0,0,0,384,388.799993
22,bench_p26_wt,bench_p26_wt_random,42,0,64,2,64,33554432,3600000000000,0,32768,2097152,1,0,heap,318016,0,0,0,0,0,0,1552,388.800036
22,bench_p26_wt,bench_p26_wt_random,42,0,64,2,64,33554432,3600000000000,0,32768,2097152,1,0,usage,318016,0,0,0,0,0,0,2490368,388.800077
27,bench_p26_wt,bench_p26_wt_random,42,0,64,2,64,1073741824,3600000000000,0,32768,2097152,1,0,write,318016,21571099,10701957,43010,10959339855,5479401984,5637406720,3600976692957,394.631144
27,bench_p26_wt,bench_p26_wt_random,42,0,64,2,64,1073741824,3600000000000,0,32768,2097152,1,0,stack,318016,0,0,0,0,0,0,1840,394.631241
