i,suite,case,FILE_COUNT,FILE_SIZE,SIM_SIZE,SKIP_WARMUP,SIZE,DISK_GEOMETRY,CHUNK,DISK_SIZE,NO_FRUNCATE,SEED,SIM_TIME,FS,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
18,bench_p26_wt,bench_p26_wt_linear,32768,64,0,0,2097152,1,64,1073741824,0,42,3600000000000,5,write,6495279040,3107,13469432,52615,1590784,6896349184,6896353280,3600000918016,64.309350
18,bench_p26_wt,bench_p26_wt_linear,32768,64,0,0,2097152,1,64,1073741824,0,42,3600000000000,5,stack,6495279040,0,0,0,0,0,0,8704,64.309434
18,bench_p26_wt,bench_p26_wt_linear,32768,64,0,0,2097152,1,64,1073741824,0,42,3600000000000,5,ctx,6495279040,0,0,0,0,0,0,7168,64.309473
18,bench_p26_wt,bench_p26_wt_linear,32768,64,0,0,2097152,1,64,1073741824,0,42,3600000000000,5,heap,6495279040,0,0,0,0,0,0,424644,64.309505
18,bench_p26_wt,bench_p26_wt_linear,32768,64,0,0,2097152,1,64,1073741824,0,42,3600000000000,5,usage,6495279040,0,0,0,0,0,0,56445328,64.309537
19,bench_p26_wt,bench_p26_wt_linear,32768,64,0,0,2097152,1,64,2147483648,0,42,3600000000000,5,write,6495284992,3103,13469440,52614,1588736,6896353280,6896222208,3600000891392,66.209077
19,bench_p26_wt,bench_p26_wt_linear,32768,64,0,0,2097152,1,64,2147483648,0,42,3600000000000,5,stack,6495284992,0,0,0,0,0,0,8704,66.209167
19,bench_p26_wt,bench_p26_wt_linear,32768,64,0,0,2097152,1,64,2147483648,0,42,3600000000000,5,ctx,6495284992,0,0,0,0,0,0,7168,66.217506
19,bench_p26_wt,bench_p26_wt_linear,32768,64,0,0,2097152,1,64,2147483648,0,42,3600000000000,5,heap,6495284992,0,0,0,0,0,0,819908,66.217556
19,bench_p26_wt,bench_p26_wt_linear,32768,64,0,0,2097152,1,64,2147483648,0,42,3600000000000,5,usage,6495284992,0,0,0,0,0,0,111867904,66.217592
20,bench_p26_wt,bench_p26_wt_linear,32768,64,0,0,2097152,1,64,4294967296,0,42,3600000000000,5,write,6495282560,3101,13469433,52615,1587712,6896349696,6896353280,3600000971776,70.753832
20,bench_p26_wt,bench_p26_wt_linear,32768,64,0,0,2097152,1,64,4294967296,0,42,3600000000000,5,stack,6495282560,0,0,0,0,0,0,8704,70.753910
20,bench_p26_wt,bench_p26_wt_linear,32768,64,0,0,2097152,1,64,4294967296,0,42,3600000000000,5,ctx,6495282560,0,0,0,0,0,0,7168,70.753941
20,bench_p26_wt,bench_p26_wt_linear,32768,64,0,0,2097152,1,64,4294967296,0,42,3600000000000,5,heap,6495282560,0,0,0,0,0,0,1610436,70.753967
